"study_id","estimand_id","target","k","removal_fraction","direction","position","observation_id","model_row_position"
"10_TPoI","tableA5_price_support_distribution_information","T1",11,0.00604727872457394,"Increase",100,131,100
"10_TPoI","tableA5_price_support_distribution_information","T1",12,0.00659703133589885,"Increase",4,6,4
"10_TPoI","tableA5_price_support_distribution_information","T1",12,0.00659703133589885,"Increase",7,10,7
"10_TPoI","tableA5_price_support_distribution_information","T1",12,0.00659703133589885,"Increase",18,27,18
"10_TPoI","tableA5_price_support_distribution_information","T1",12,0.00659703133589885,"Increase",45,60,45
"10_TPoI","tableA5_price_support_distribution_information","T1",12,0.00659703133589885,"Increase",49,66,49
"10_TPoI","tableA5_price_support_distribution_information","T1",12,0.00659703133589885,"Increase",59,79,59
"10_TPoI","tableA5_price_support_distribution_information","T1",12,0.00659703133589885,"Increase",62,84,62
"10_TPoI","tableA5_price_support_distribution_information","T1",12,0.00659703133589885,"Increase",74,97,74
"10_TPoI","tableA5_price_support_distribution_information","T1",12,0.00659703133589885,"Increase",91,118,91
"10_TPoI","tableA5_price_support_distribution_information","T1",12,0.00659703133589885,"Increase",93,122,93
"10_TPoI","tableA5_price_support_distribution_information","T1",12,0.00659703133589885,"Increase",100,131,100
"10_TPoI","tableA5_price_support_distribution_information","T1",12,0.00659703133589885,"Increase",104,137,104
"10_TPoI","tableA5_price_support_distribution_information","T1",13,0.00714678394722375,"Increase",4,6,4
"10_TPoI","tableA5_price_support_distribution_information","T1",13,0.00714678394722375,"Increase",7,10,7
"10_TPoI","tableA5_price_support_distribution_information","T1",13,0.00714678394722375,"Increase",18,27,18
"10_TPoI","tableA5_price_support_distribution_information","T1",13,0.00714678394722375,"Increase",45,60,45
"10_TPoI","tableA5_price_support_distribution_information","T1",13,0.00714678394722375,"Increase",49,66,49
"10_TPoI","tableA5_price_support_distribution_information","T1",13,0.00714678394722375,"Increase",59,79,59
"10_TPoI","tableA5_price_support_distribution_information","T1",13,0.00714678394722375,"Increase",62,84,62
"10_TPoI","tableA5_price_support_distribution_information","T1",13,0.00714678394722375,"Increase",74,97,74
"10_TPoI","tableA5_price_support_distribution_information","T1",13,0.00714678394722375,"Increase",91,118,91
"10_TPoI","tableA5_price_support_distribution_information","T1",13,0.00714678394722375,"Increase",93,122,93
"10_TPoI","tableA5_price_support_distribution_information","T1",13,0.00714678394722375,"Increase",100,131,100
"10_TPoI","tableA5_price_support_distribution_information","T1",13,0.00714678394722375,"Increase",104,137,104
"10_TPoI","tableA5_price_support_distribution_information","T1",13,0.00714678394722375,"Increase",114,148,114
"10_TPoI","tableA5_price_support_distribution_information","T1",14,0.00769653655854865,"Increase",4,6,4
"10_TPoI","tableA5_price_support_distribution_information","T1",14,0.00769653655854865,"Increase",7,10,7
"10_TPoI","tableA5_price_support_distribution_information","T1",14,0.00769653655854865,"Increase",18,27,18
"10_TPoI","tableA5_price_support_distribution_information","T1",14,0.00769653655854865,"Increase",45,60,45
