"model","outcome","term","estimate","std.error","statistic","p.value","n","panel","outcome_label","column","row_type"
"Panel_B","age","T80",-0.0156824484198594,1.08096210960033,-0.0145078613584872,0.988462332520747,3173,"B","Age","Delta Treated 80% Market","estimate"
"Panel_B","age","C80",0.926728678445002,1.05926815624894,0.874876369102526,0.384361953207902,3173,"B","Age","Delta Untreated 80% Market","estimate"
"Panel_B","education_college","(Intercept)",0.246190858059342,0.0209771735499489,11.7361310604184,0.000000000000000000798337456939076,3173,"B","Education-College","Pure Control","estimate"
"Panel_B","education_college","T50",0.0105658986974144,0.0362837694509535,0.291201792352276,0.771679979847795,3173,"B","Education-College","Delta Treated 50% Market","estimate"
"Panel_B","education_college","C50",0.0247451025317906,0.0506590635814906,0.488463480813959,0.626609834861267,3173,"B","Education-College","Delta Untreated 50% Market","estimate"
"Panel_B","education_college","T80",0.030580146882997,0.0280460541161026,1.09035469861122,0.278957338301627,3173,"B","Education-College","Delta Treated 80% Market","estimate"
"Panel_B","education_college","C80",0.0290704659824694,0.0338591522620154,0.858570402398463,0.39324239995954,3173,"B","Education-College","Delta Untreated 80% Market","estimate"
"Panel_B","polconnection","(Intercept)",0.147554129911788,0.0177521125138515,8.31191948545029,0.00000000000254796274786481,3173,"B","Political Connection (1=Yes, 0=No)","Pure Control","estimate"
"Panel_B","polconnection","T50",0.0371305547728964,0.0398108834351612,0.932673469388587,0.353903955486755,3173,"B","Political Connection (1=Yes, 0=No)","Delta Treated 50% Market","estimate"
"Panel_B","polconnection","C50",0.0150074464428915,0.0312454192824251,0.480308691243355,0.63236966209555,3173,"B","Political Connection (1=Yes, 0=No)","Delta Untreated 50% Market","estimate"
"Panel_B","polconnection","T80",0.014719346200238,0.0248022566880296,0.593468021292678,0.554607315394761,3173,"B","Political Connection (1=Yes, 0=No)","Delta Treated 80% Market","estimate"
"Panel_B","polconnection","C80",0.0127246157328111,0.0272854130287944,0.466352322370298,0.642280022450811,3173,"B","Political Connection (1=Yes, 0=No)","Delta Untreated 80% Market","estimate"
"Panel_C","bankloan","(Intercept)",0.252606255012029,0.0243284824637446,10.3831488621813,0.000000000000000270057799771945,3173,"C","Other Bank Loan (1=Yes, 0=No)","Pure Control","estimate"
"Panel_C","bankloan","T50",0.0356820332762595,0.0492899472624745,0.723921108826688,0.471307883090022,3173,"C","Other Bank Loan (1=Yes, 0=No)","Delta Treated 50% Market","estimate"
"Panel_C","bankloan","C50",-0.00137472791843283,0.0477864620357315,-0.0287681460369445,0.977123938772725,3173,"C","Other Bank Loan (1=Yes, 0=No)","Delta Untreated 50% Market","estimate"
"Panel_C","bankloan","T80",-0.0269060902673831,0.0331152811428363,-0.812497715218812,0.419011054167992,3173,"C","Other Bank Loan (1=Yes, 0=No)","Delta Treated 80% Market","estimate"
"Panel_C","bankloan","C80",-0.0296097393325863,0.0435285276221819,-0.680237557989379,0.498394277609284,3173,"C","Other Bank Loan (1=Yes, 0=No)","Delta Untreated 80% Market","estimate"
"Panel_C","bankloan_amount","(Intercept)",30.7809523809524,6.7365883539924,4.56921972421103,0.0000191749636815975,755,"C","Loan Size (10,000 RMB)","Pure Control","estimate"
"Panel_C","bankloan_amount","T50",1.27077175697866,14.2763491281683,0.0890123760332626,0.929312541361863,755,"C","Loan Size (10,000 RMB)","Delta Treated 50% Market","estimate"
"Panel_C","bankloan_amount","C50",-4.00822510822511,8.9194117250876,-0.44938222741206,0.65446940961561,755,"C","Loan Size (10,000 RMB)","Delta Untreated 50% Market","estimate"
"Panel_C","bankloan_amount","T80",-1.98168230795967,11.1235332733845,-0.178152234479423,0.859090225065393,755,"C","Loan Size (10,000 RMB)","Delta Treated 80% Market","estimate"
"Panel_C","bankloan_amount","C80",-5.53095238095237,7.76906325917303,-0.711920111401063,0.478752719157186,755,"C","Loan Size (10,000 RMB)","Delta Untreated 80% Market","estimate"
"Panel_C","bankloan_interest","(Intercept)",9.15753546336018,0.133020627960338,68.8429727311964,0.00000000000000000000000000000000000000000000000000000000000000000000758811854364277,682,"C","Monthly Interest Rate","Pure Control","estimate"
"Panel_C","bankloan_interest","T50",-0.390868798563467,0.380020483644787,-1.02854665836597,0.307043003970708,682,"C","Monthly Interest Rate","Delta Treated 50% Market","estimate"
"Panel_C","bankloan_interest","C50",0.33222064397014,0.288906946173627,1.14992265977047,0.253878486074029,682,"C","Monthly Interest Rate","Delta Untreated 50% Market","estimate"
"Panel_C","bankloan_interest","T80",0.0429665431705837,0.197525925660687,0.217523563182244,0.828399013898207,682,"C","Monthly Interest Rate","Delta Treated 80% Market","estimate"
"Panel_C","bankloan_interest","C80",0.0363438614541849,0.294286893235178,0.12349806358906,0.902047531279464,682,"C","Monthly Interest Rate","Delta Untreated 80% Market","estimate"
"Panel_D","num_clients","(Intercept)",27.373696872494,1.01107582502024,27.0738318483145,0.000000000000000000000000000000000000000042832848729323,3173,"D","Number of Clients","Pure Control","estimate"
"Panel_D","num_clients","T50",-0.770093268890373,1.50476616205019,-0.511769395346549,0.610277037901304,3173,"D","Number of Clients","Delta Treated 50% Market","estimate"
"Panel_D","num_clients","C50",1.23221445755529,2.28703912596538,0.538781537913199,0.591591917087827,3173,"D","Number of Clients","Delta Untreated 50% Market","estimate"
"Panel_D","num_clients","T80",1.12383195781904,1.48182432715131,0.758411059413174,0.45052009910337,3173,"D","Number of Clients","Delta Treated 80% Market","estimate"
"Panel_D","num_clients","C80",2.1175923261123,1.82923280119761,1.15763959881208,0.250589478256093,3173,"D","Number of Clients","Delta Untreated 80% Market","estimate"
"Panel_D","num_supplier","(Intercept)",6.53488372093023,0.812967333678181,8.03831033574728,0.00000000000858223372636277,3173,"D","Number of Suppliers","Pure Control","estimate"
"Panel_D","num_supplier","T50",2.09124240519589,2.2447494359811,0.931615071007641,0.354447357803032,3173,"D","Number of Suppliers","Delta Treated 50% Market","estimate"
"Panel_D","num_supplier","C50",1.5488601214343,1.55867596379676,0.993702448366145,0.323480257804784,3173,"D","Number of Suppliers","Delta Untreated 50% Market","estimate"
"Panel_D","num_supplier","T80",-0.244109421094975,0.908058239045517,-0.268825732313783,0.788782767015142,3173,"D","Number of Suppliers","Delta Treated 80% Market","estimate"
"Panel_D","num_supplier","C80",0.123652864435622,1.06341424749257,0.116279112046113,0.907734075604026,3173,"D","Number of Suppliers","Delta Untreated 80% Market","estimate"
"Panel_E","flagatt","(Intercept)",0.105854049719326,0.00923468687398304,11.4626571711435,0.00000000000000000255391687673232,3173,"E","Attrition","Pure Control","estimate"
"Panel_E","flagatt","T50",-0.00225044611572274,0.014993015343921,-0.150099634002922,0.881078495208183,3173,"E","Attrition","Delta Treated 50% Market","estimate"
"Panel_E","flagatt","C50",-0.00240577385725741,0.0224711884442343,-0.107060374809623,0.915019538547338,3173,"E","Attrition","Delta Untreated 50% Market","estimate"
"Panel_E","flagatt","T80",0.00122997005003111,0.0123274443849252,0.099774942123057,0.920782318120162,3173,"E","Attrition","Delta Treated 80% Market","estimate"
"Panel_E","flagatt","C80",-0.0013244329945877,0.0158478484699471,-0.0835717856022716,0.933613787901368,3173,"E","Attrition","Delta Untreated 80% Market","estimate"
"Panel_E","shutdownall","(Intercept)",0.13392141138733,0.0225064460756017,5.9503579968811,0.0000000743494635639394,3173,"E","Shutdown","Pure Control","estimate"
"Panel_E","shutdownall","T50",-0.0258133032792215,0.0587332032712993,-0.439501029085458,0.661529556510288,3173,"E","Shutdown","Delta Treated 50% Market","estimate"
"Panel_E","shutdownall","C50",-0.0304731355252606,0.0450316208904222,-0.67670527781828,0.500620817177889,3173,"E","Shutdown","Delta Untreated 50% Market","estimate"
"Panel_E","shutdownall","T80",-0.0523728117168189,0.0275218130881432,-1.90295644945652,0.0607842874258363,3173,"E","Shutdown","Delta Treated 80% Market","estimate"
"Panel_E","shutdownall","C80",0.0193886931422872,0.0340196389761686,0.569926481461762,0.570386722818829,3173,"E","Shutdown","Delta Untreated 80% Market","estimate"
"Joint significance","PureControl","joint_baseline_controls",,,,,,"Bottom","P-val of Joint Significance of Vars in Panels A-D","Pure Control","joint_p"
"Joint significance","T50","joint_baseline_controls",,,,0.438995883517072,3173,"Bottom","P-val of Joint Significance of Vars in Panels A-D","T50","joint_p"
"Joint significance","C50","joint_baseline_controls",,,,0.353957823064892,3173,"Bottom","P-val of Joint Significance of Vars in Panels A-D","C50","joint_p"
"Joint significance","T80","joint_baseline_controls",,,,0.716106879697723,3173,"Bottom","P-val of Joint Significance of Vars in Panels A-D","T80","joint_p"
"Joint significance","C80","joint_baseline_controls",,,,0.328446556799839,3173,"Bottom","P-val of Joint Significance of Vars in Panels A-D","C80","joint_p"
"Observations","N","N",1247,,,,,"Bottom","Observations","Pure Control","N"
"Observations","N","N",222,,,,,"Bottom","Observations","T50","N"
"Observations","N","N",203,,,,,"Bottom","Observations","C50","N"
"Observations","N","N",1214,,,,,"Bottom","Observations","T80","N"
"Observations","N","N",287,,,,,"Bottom","Observations","C80","N"
