"model","outcome","term","estimate","std.error","statistic","p.value","n","control_mean","fixed_effects","notes","rw_p.value"
"Table5_lnprice","lnprice","type",-0.0619908322194651,0.0258695709404518,-2.39628374054442,0.0189890710946396,2482,1.60233116009879,"No",,0.026973026973027
"Table5_lnprice","lnprice","treatratio_comp",0.00386665545977533,0.0402131373146741,0.0961540361677863,0.923648053974392,2482,1.60233116009879,"No",,0.914085914085914
"Table5_selleradvice","selleradvice","type",0.238303086036488,0.0349822955006707,6.81210545579888,0.00000000208478698157696,1804,0.400974025974026,"No",,0.000999000999000999
"Table5_selleradvice","selleradvice","treatratio_comp",-0.0981738638482407,0.0461833519502981,-2.12574141335376,0.0368167629149952,1804,0.400974025974026,"No",,0.042957042957043
"Table5_zconeval_squality","zconeval_squality","type",0.753111148523997,0.095032604132691,7.92476598318249,0.0000000000165893429820819,1804,-0.00381143672643085,"No",,0.000999000999000999
"Table5_zconeval_squality","zconeval_squality","treatratio_comp",-0.174754413471733,0.119558041510526,-1.46167009147894,0.148009052081079,1804,-0.00381143672643085,"No",,0.158841158841159
"Table5_zconeval_env","zconeval_env","type",0.990999896008871,0.0968788814183054,10.2292664975137,0.00000000000000070996231408644,1804,0.0427991058122824,"No",,0.000999000999000999
"Table5_zconeval_env","zconeval_env","treatratio_comp",-0.344697351373168,0.127851349491762,-2.69607910079492,0.00865782331255301,1804,0.0427991058122824,"No",,0.012987012987013
"Table5_zconeval_money","zconeval_money","type",0.617586883186354,0.0770312278353116,8.01735738273209,0.0000000000110590438145166,1804,0.0238575319913977,"No",,0.000999000999000999
"Table5_zconeval_money","zconeval_money","treatratio_comp",-0.197477114171486,0.0857304666432413,-2.30346482299306,0.0240253451723031,1804,0.0238575319913977,"No",,0.030969030969031
"Table5_zconeval_all","zconeval_all","type",0.835793851164899,0.0603971803775172,13.8382925484386,0.000000000000000000000241990040340246,1804,0.0208811078948737,"No",,0.000999000999000999
"Table5_zconeval_all","zconeval_all","treatratio_comp",-0.230936996140568,0.0949921079022217,-2.43111771325549,0.0174409682351653,1804,0.0208811078948737,"No",,0.026973026973027
