"model","outcome","term","estimate","std.error","statistic","p.value","n","control_mean","fixed_effects","notes","specification"
"A7_status_lnpart5revenue","lnpart5revenue","interpost",0.0698542551556691,0.086604562542398,0.806588626568853,0.422387832448494,8612,,"Firm FE",,"competitor treatment by own treatment status"
"A7_status_lnpart5revenue","lnpart5revenue","interpost_comp1",-0.0490876910060272,0.105569671724128,-0.464979100572576,0.643258698668625,8612,,"Firm FE",,"competitor treatment by own treatment status"
"A7_status_lnpart5revenue","lnpart5revenue","interpost_comp2",-0.0941036092495972,0.0447753610164125,-2.10168287007453,0.0388513391215147,8612,,"Firm FE",,"competitor treatment by own treatment status"
"A7_timing_lnpart5revenue","lnpart5revenue","interpost_round11",0.095061725513204,0.0426006118656875,2.23146385345162,0.028559332879166,8612,,"Firm FE",,"midline/endline interactions"
"A7_timing_lnpart5revenue","lnpart5revenue","interpost_round12",-0.0770295015751469,0.046499827679706,-1.65655455985195,0.101679270369587,8612,,"Firm FE",,"midline/endline interactions"
"A7_timing_lnpart5revenue","lnpart5revenue","interpost_round21",0.103036895335075,0.0377509044144061,2.72938879037174,0.00785951715403115,8612,,"Firm FE",,"midline/endline interactions"
"A7_timing_lnpart5revenue","lnpart5revenue","interpost_round22",-0.0934780433205812,0.0459333042375675,-2.03508205804468,0.045284210182855,8612,,"Firm FE",,"midline/endline interactions"
"A7_status_total_profit","total_profit","interpost",7.72928463442101,11.4729039641448,0.673699061595622,0.502519984492711,8612,,"Firm FE",,"competitor treatment by own treatment status"
"A7_status_total_profit","total_profit","interpost_comp1",-3.39825742465095,14.4626947221947,-0.234967099142039,0.814858005311578,8612,,"Firm FE",,"competitor treatment by own treatment status"
"A7_status_total_profit","total_profit","interpost_comp2",-10.9047182351587,4.22957955488568,-2.57820383649301,0.0118394457107809,8612,,"Firm FE",,"competitor treatment by own treatment status"
"A7_timing_total_profit","total_profit","interpost_round11",11.8077352252637,5.49087158158244,2.15043004554493,0.0346592322596177,8612,,"Firm FE",,"midline/endline interactions"
"A7_timing_total_profit","total_profit","interpost_round12",-9.66778808000018,6.39736949578589,-1.51121302065929,0.134827463324635,8612,,"Firm FE",,"midline/endline interactions"
"A7_timing_total_profit","total_profit","interpost_round21",13.4281123132598,3.18047981852277,4.22203977999039,0.0000656570298465806,8612,,"Firm FE",,"midline/endline interactions"
"A7_timing_total_profit","total_profit","interpost_round22",-9.30590410673214,4.33371251050504,-2.14732843587902,0.0349137218767864,8612,,"Firm FE",,"midline/endline interactions"
"A7_status_lnlabor","lnlabor","interpost",0.0318078944373379,0.0537582621289108,0.591683830125749,0.555795561201814,8612,,"Firm FE",,"competitor treatment by own treatment status"
"A7_status_lnlabor","lnlabor","interpost_comp1",-0.0130087565940349,0.0637473455897986,-0.20406742388528,0.838839205860143,8612,,"Firm FE",,"competitor treatment by own treatment status"
"A7_status_lnlabor","lnlabor","interpost_comp2",-0.0782909962142989,0.0437078749148611,-1.79123319005563,0.0771853890888909,8612,,"Firm FE",,"competitor treatment by own treatment status"
"A7_timing_lnlabor","lnlabor","interpost_round11",0.0829719072718199,0.0372497439287702,2.22744906462929,0.0288377470046529,8612,,"Firm FE",,"midline/endline interactions"
"A7_timing_lnlabor","lnlabor","interpost_round12",-0.0731848378374724,0.0491668732737177,-1.48849892141898,0.140703659819619,8612,,"Firm FE",,"midline/endline interactions"
"A7_timing_lnlabor","lnlabor","interpost_round21",0.0663763504873866,0.0247589392761687,2.68090445018684,0.00897804958982907,8612,,"Firm FE",,"midline/endline interactions"
"A7_timing_lnlabor","lnlabor","interpost_round22",-0.059058618189599,0.0328118646556844,-1.79991654876485,0.0757907172759913,8612,,"Firm FE",,"midline/endline interactions"
