"model","outcome","term","estimate","std.error","statistic","p.value","n","control_mean","fixed_effects","notes"
"retained_no_shutdown_part5revenue","part5revenue","T50",35.8926455467103,84.7283383027465,0.423620317189046,0.673023737566006,2482,,,
"retained_no_shutdown_part5revenue","part5revenue","C50",10.7006207063496,56.1599592885554,0.190538256115336,0.849388832833178,2482,,,
"retained_no_shutdown_part5revenue","part5revenue","T80",3.78538667773573,51.4271781452054,0.0736067350817428,0.941514190567614,2482,,,
"retained_no_shutdown_part5revenue","part5revenue","C80",-15.0046690029206,39.3306418147389,-0.381500741167608,0.70388244304183,2482,,,
"retained_no_shutdown_total_profit","total_profit","T50",-2.30175274286389,11.9573711437879,-0.192496554232967,0.847860061429424,2482,,,
"retained_no_shutdown_total_profit","total_profit","C50",-3.04951178749333,8.33852710006272,-0.365713482836842,0.715581668863745,2482,,,
"retained_no_shutdown_total_profit","total_profit","T80",-1.0992383334397,7.6609599612154,-0.143485717064798,0.886281434926079,2482,,,
"retained_no_shutdown_total_profit","total_profit","C80",-0.494412120573443,7.1153035934199,-0.0694857379003007,0.944783124298802,2482,,,
"retained_no_shutdown_labor","labor","T50",1.30520795660036,1.24086046453535,1.05185715388967,0.296154939091073,2482,,,
"retained_no_shutdown_labor","labor","C50",0.0296800062898048,1.01131434048179,0.0293479535508865,0.976663016012142,2482,,,
"retained_no_shutdown_labor","labor","T80",0.0158388485510554,0.698526710384541,0.0226746498245373,0.981968454741903,2482,,,
"retained_no_shutdown_labor","labor","C80",0.0951744220597881,0.661655644166227,0.143842832595678,0.886000374694943,2482,,,
"retained_no_shutdown_num_clients","num_clients","T50",-1.96205545509342,2.04774778227297,-0.958152889764365,0.340984540802387,2482,,,
"retained_no_shutdown_num_clients","num_clients","C50",0.877696097701625,2.20419707085157,0.398193114993359,0.691589778290367,2482,,,
"retained_no_shutdown_num_clients","num_clients","T80",0.416334682687596,1.63065329399659,0.25531772095293,0.799158466755842,2482,,,
"retained_no_shutdown_num_clients","num_clients","C80",2.6531021572473,1.9804263791805,1.33966209758585,0.184295757094717,2482,,,
"observed_endline_part5revenue","part5revenue","T50",11.2237863327622,88.8309139695277,0.126350003970604,0.899792988716841,1804,,,
"observed_endline_part5revenue","part5revenue","C50",3.09604180105045,77.9858535671632,0.0397000437827364,0.968437757498297,1804,,,
"observed_endline_part5revenue","part5revenue","T80",-0.714952132066344,70.9309903390576,-0.0100795453249531,0.991984586229693,1804,,,
"observed_endline_part5revenue","part5revenue","C80",-29.7396724846637,56.3209167550531,-0.528039566791951,0.599030782175912,1804,,,
"observed_endline_total_profit","total_profit","T50",-5.39020708799293,12.978631942028,-0.415313964682063,0.679097854797886,1804,,,
"observed_endline_total_profit","total_profit","C50",-5.87515103320445,10.2487797788584,-0.573253710195235,0.568187812765962,1804,,,
"observed_endline_total_profit","total_profit","T80",-2.65183061112105,10.8112059962193,-0.245285365207951,0.806905413860233,1804,,,
"observed_endline_total_profit","total_profit","C80",-4.45307522725989,9.80134382588579,-0.454333130881412,0.65090126204672,1804,,,
"observed_endline_labor","labor","T50",1.13937662337663,1.09614309344539,1.03944150192594,0.301938870054446,1804,,,
"observed_endline_labor","labor","C50",0.325057295645531,1.08573934847375,0.299387966460339,0.765472142132944,1804,,,
"observed_endline_labor","labor","T80",-0.0613778985871996,0.86338612121185,-0.0710897442977766,0.943515555486876,1804,,,
"observed_endline_labor","labor","C80",-0.0589763177998446,0.811846804637057,-0.0726446386965956,0.942282289215785,1804,,,
"observed_endline_num_clients","num_clients","T50",-1.89361038961037,1.69997916827516,-1.11390211418395,0.268878265053694,1804,,,
"observed_endline_num_clients","num_clients","C50",-0.229946524064161,2.55303367818433,-0.0900679556360945,0.928473315547932,1804,,,
"observed_endline_num_clients","num_clients","T80",-0.321134937413994,1.6545808672091,-0.194088390466932,0.846631409001812,1804,,,
"observed_endline_num_clients","num_clients","C80",1.9162719633308,2.01496633481953,0.95101934469909,0.344649304011699,1804,,,
