"model","outcome","term","estimate","std.error","statistic","p.value","n","control_mean","fixed_effects","notes"
"A8_tradecredit_supplier","tradecredit_supplier","interpost",0.0681391087512999,0.0142087988908751,4.79555726522803,0.0000077618034818728,8222,0.174386920980926,"Firm FE + Post",
"A8_tradecredit_supplier","tradecredit_supplier","inter4post",-0.0409461426805708,0.0176042057156793,-2.32592957284645,0.0226557393375061,8222,0.174386920980926,"Firm FE + Post",
"A8_tradecredit_client","tradecredit_client","interpost",0.0752038336588996,0.0197102024582728,3.815477482695,0.000272766804274706,8221,0.347865576748411,"Firm FE + Post",
"A8_tradecredit_client","tradecredit_client","inter4post",-0.0717097629985173,0.0226818004307912,-3.16155515155531,0.00224492177255518,8221,0.347865576748411,"Firm FE + Post",
"A8_lnmarkup","lnmarkup","interpost",0.0148598155658557,0.0232139506548564,0.640124371193447,0.523991985542525,8612,0.389276638156294,"Firm FE + Post",
"A8_lnmarkup","lnmarkup","inter4post",-0.0403293572805905,0.0258396915849582,-1.56075226935243,0.122683097949428,8612,0.389276638156294,"Firm FE + Post",
"A8_lnrent","lnrent","interpost",0.0475790234027393,0.0992871948339638,0.479206039432425,0.633150237210604,8220,1.63379474119584,"Firm FE + Post",
"A8_lnrent","lnrent","inter4post",0.0112496359539184,0.162124373719958,0.0693889246619403,0.944859931908977,8220,1.63379474119584,"Firm FE + Post",
"A8_lnnum_supplier","lnnum_supplier","interpost",0.0505464910343775,0.0344298648543182,1.46810018709783,0.146150285685368,8716,1.21560185349456,"Firm FE + Post",
"A8_lnnum_supplier","lnnum_supplier","inter4post",-0.040976273940271,0.0354027783168073,-1.15743102345212,0.250674122305557,8716,1.21560185349456,"Firm FE + Post",
"A8_ad_cost","ad_cost","interpost",0.209990948401033,0.106203527505485,1.97725022259913,0.0515927398487457,8220,0.366012716007763,"Firm FE + Post",
"A8_ad_cost","ad_cost","inter4post",0.0371197769162274,0.0745044112146781,0.498222538921487,0.61974731160169,8220,0.366012716007763,"Firm FE + Post",
