"model","outcome","term","estimate","std.error","statistic","p.value","n","control_mean","fixed_effects","notes"
"A6_part5revenue","part5revenue","interpost",65.3672968613286,13.6229090214969,4.79833615259263,0.00000767944101464173,8612,323.70580594446,"Firm FE",
"A6_part5revenue","part5revenue","inter4post",-48.9263214008728,17.3577618660262,-2.81869988645453,0.00612615654066918,8612,323.70580594446,"Firm FE",
"A6_total_profit","total_profit","interpost",12.6365522854934,3.09853474605769,4.0782348177864,0.000109653382535879,8612,51.9453375166298,"Firm FE",
"A6_total_profit","total_profit","inter4post",-9.4777438170448,4.80239339367262,-1.97354590515891,0.0520212141724198,8612,51.9453375166298,"Firm FE",
"A6_labor","labor","interpost",0.743580544883177,0.317455831991533,2.34231181143653,0.0217499819890203,8724,8.82277465918204,"Firm FE",
"A6_labor","labor","inter4post",-0.854107241517444,0.491742696374579,-1.73689868261274,0.0864039551273331,8724,8.82277465918204,"Firm FE",
"A6_shut_part5revenue","shut_part5revenue","interpost",70.6460696439336,14.2561376078478,4.95548454898781,0.00000418138988102052,8799,323.70580594446,"Firm FE",
"A6_shut_part5revenue","shut_part5revenue","inter4post",-52.9247440077211,16.8645773995841,-3.13821940234484,0.00240926212909553,8799,323.70580594446,"Firm FE",
"A6_shut_total_profit","shut_total_profit","interpost",11.6113287565816,2.98608041842045,3.88848494667254,0.000212485588374051,8799,51.9453375166298,"Firm FE",
"A6_shut_total_profit","shut_total_profit","inter4post",-7.86035415647397,4.67025843313844,-1.68306620907738,0.0964129750930888,8799,51.9453375166298,"Firm FE",
"A6_shut_labor","shut_labor","interpost",0.81927870640212,0.31201360494704,2.62577879109208,0.0104245303338551,8821,8.82277465918204,"Firm FE",
"A6_shut_labor","shut_labor","inter4post",-0.881903589408435,0.469164661525723,-1.87973149243697,0.0639275194366163,8821,8.82277465918204,"Firm FE",
"A6_asinhpart5revenue","asinhpart5revenue","interpost",0.0992850775743002,0.0350358248498794,2.83381590128716,0.00587015846656076,8612,6.14671105772864,"Firm FE",
"A6_asinhpart5revenue","asinhpart5revenue","inter4post",-0.0855265250797139,0.0409740092564123,-2.08733601206792,0.0401659483399923,8612,6.14671105772864,"Firm FE",
"A6_asinhtotal_profit","asinhtotal_profit","interpost",0.300254450150989,0.0821657489179942,3.65425319071403,0.000468864105344425,8612,4.14630829340802,"Firm FE",
"A6_asinhtotal_profit","asinhtotal_profit","inter4post",-0.272515937431035,0.122983235765467,-2.21587873936519,0.0296534845252712,8612,4.14630829340802,"Firm FE",
"A6_asinhlabor","asinhlabor","interpost",0.0906992902968935,0.0347610145863075,2.60922448255064,0.0108984663593704,8724,2.66655120074147,"Firm FE",
"A6_asinhlabor","asinhlabor","inter4post",-0.0988350052004157,0.0365288964456466,-2.70566633042084,0.00838984988600223,8724,2.66655120074147,"Firm FE",
"A6_asinhshut_part5revenue","asinhshut_part5revenue","interpost",0.211834993320445,0.0835648210920352,2.53497812299673,0.0132731884840265,8799,6.14671105772864,"Firm FE",
"A6_asinhshut_part5revenue","asinhshut_part5revenue","inter4post",-0.164329651808098,0.0972209057410587,-1.69027073503902,0.0950209538386443,8799,6.14671105772864,"Firm FE",
"A6_asinhshut_total_profit","asinhshut_total_profit","interpost",0.208649386868744,0.0992401753489313,2.10246894602036,0.0387804000204798,8799,4.14630829340802,"Firm FE",
"A6_asinhshut_total_profit","asinhshut_total_profit","inter4post",-0.133940425956437,0.141040517930913,-0.949659203761903,0.345256658740233,8799,4.14630829340802,"Firm FE",
"A6_asinhshut_labor","asinhshut_labor","interpost",0.1076530402138,0.0338017829459114,3.18483319019187,0.00209146815645022,8821,2.66655120074147,"Firm FE",
"A6_asinhshut_labor","asinhshut_labor","inter4post",-0.0979466188754793,0.039979597028232,-2.44991511060787,0.0165594906330529,8821,2.66655120074147,"Firm FE",
