"id_village_grp","c9_member","c10_hh","c15_clasify","final_heterocast:Scheduled Caste/Scheduled Tribe","final_heterocast:Other Backward Class","final_heterocast:Minority","final_heterocast:General","final_heterocast:Dont have a caste group","final_heterocast:Other","final_heterocast:Dont know","final_heterorelig:Hinduism","final_heterorelig:Islam","final_heterorelig:Christianity","final_heterorelig:Buddhism","final_heterorelig:Sikhism","final_heterorelig:Jainism","final_heterorelig:Other","final_heterorelig:Don’t know","a1_5_literate","final_hetero_bisSingle","final_hetero_bisMarried, living with spouse,","final_hetero_bisMarried, not living with spouse","final_hetero_bisSeparated/Divorce,","final_hetero_bisWidow/Widower","final_hetero_bisDon’t know","final_hetero_bisNA","educ_0","educ_1","educ_2","educ_3","educ_4","educ_other","d1_ab3_vacc_num","d1_ab1_tot_inj","d3_ab3_vacc_num","d3_ab1_tot_inj","d5_ab1_poliodrops","d5_ab3_num_drops","d7_ab1_receive_card","more_than_5_vacc","measles_by_age_15_months","measles_ever"
"1_01_01_V01Y_0",0.111111111111111,0.388888888888889,3.66666666666667,0.388888888888889,0.166666666666667,0,0.277777777777778,0,0,0.166666666666667,1,0,0,0,0,0,0,0,0.819277108433735,0.0458715596330275,0.495412844036697,0,0,0.0275229357798165,0,0.431192660550459,0.146788990825688,0.137614678899083,0.146788990825688,0.247706422018349,0.0825688073394495,0.238532110091743,2.3125,7,3.88235294117647,5.64705882352941,1,3,0.875,0.294117647058824,0,0.235294117647059
"1_01_02_V01Y_0",0.111111111111111,0.444444444444444,4.05555555555556,0.277777777777778,0.0555555555555556,0,0.333333333333333,0,0,0.333333333333333,1,0,0,0,0,0,0,0,0.708860759493671,0.100917431192661,0.513761467889908,0,0,0.036697247706422,0,0.348623853211009,0.211009174311927,0.036697247706422,0.137614678899083,0.321100917431193,0.018348623853211,0.26605504587156,2.2,3.4,4.77777777777778,7.11111111111111,1,3,1,0.444444444444444,0.222222222222222,0.388888888888889
"1_01_03_V01Y_0",0,0.0526315789473684,3.94736842105263,0.315789473684211,0.0526315789473684,0,0.526315789473684,0,0,0.105263157894737,1,0,0,0,0,0,0,0,0.836065573770492,0.0117647058823529,0.588235294117647,0,0,0.0352941176470588,0,0.364705882352941,0.117647058823529,0.0941176470588235,0.105882352941176,0.294117647058824,0.105882352941176,0.282352941176471,2.35294117647059,5.41176470588235,4.47368421052632,5.57894736842105,1,2.89473684210526,1,0.526315789473684,0.157894736842105,0.526315789473684
"1_01_03_V02Y_0",0,0.176470588235294,3.47058823529412,0.117647058823529,0.235294117647059,0,0.411764705882353,0,0,0.235294117647059,1,0,0,0,0,0,0,0,0.816901408450704,0.0309278350515464,0.54639175257732,0,0.0103092783505155,0.0618556701030928,0,0.350515463917526,0.134020618556701,0.0824742268041237,0.103092783505155,0.216494845360825,0.185567010309278,0.268041237113402,2.5,2.5,4.53333333333333,7.33333333333333,0.933333333333333,3,1,0.6,0.153846153846154,0.571428571428571
"1_01_04_V01Y_0",0,0.176470588235294,2.94117647058824,0.0588235294117647,0.176470588235294,0,0.529411764705882,0,0,0.235294117647059,1,0,0,0,0,0,0,0,0.867924528301887,0.0223880597014925,0.522388059701492,0,0,0.0447761194029851,0,0.41044776119403,0.104477611940299,0.156716417910448,0.164179104477612,0.238805970149254,0.119402985074627,0.208955223880597,2.30769230769231,5,5.0625,5.125,1,3,0.875,0.625,0.125,0.5
"1_01_05_V01Y_0",0,0,3.35294117647059,0,0.294117647058824,0,0.588235294117647,0,0,0.117647058823529,1,0,0,0,0,0,0,0,0.774647887323944,0.0625,0.5625,0,0,0.03125,0,0.34375,0.166666666666667,0.0729166666666667,0.104166666666667,0.270833333333333,0.114583333333333,0.260416666666667,2.4,2.8,5.11764705882353,5.70588235294118,1,3,1,0.588235294117647,0.411764705882353,0.588235294117647
"1_01_06_V01Y_0",0,0.25,3.15,0.15,0.1,0,0.6,0,0,0.15,0.95,0,0,0,0,0,0,0.05,0.84,0.0693069306930693,0.495049504950495,0,0,0.0594059405940594,0,0.376237623762376,0.118811881188119,0.128712871287129,0.158415841584158,0.277227722772277,0.0396039603960396,0.277227722772277,2.25,4.65,3.8,6.5,1,3,0.789473684210526,0.3,0.0526315789473684,0.2
"1_02_01_V01Y_0",0.0555555555555556,0.333333333333333,4.16666666666667,0.277777777777778,0.0555555555555556,0,0.222222222222222,0,0,0.444444444444444,0.833333333333333,0,0,0,0,0,0,0.166666666666667,0.688888888888889,0.0330578512396694,0.520661157024793,0,0,0.0330578512396694,0,0.413223140495868,0.231404958677686,0.12396694214876,0.173553719008264,0.132231404958678,0.0826446280991736,0.256198347107438,2.5,2.5625,4.16666666666667,4.55555555555556,1,3,1,0.333333333333333,0.176470588235294,0.235294117647059
"1_02_01_V03Y_0",0.266666666666667,0.533333333333333,2,0.4,0,0,0,0,0,0.6,0.8,0,0,0,0,0,0,0.2,0.84375,0.0444444444444444,0.488888888888889,0,0,0.0111111111111111,0,0.455555555555556,0.111111111111111,0.144444444444444,0.244444444444444,0.111111111111111,0.1,0.288888888888889,2.46666666666667,2.53333333333333,3.93333333333333,3.93333333333333,1,3,0.933333333333333,0.333333333333333,0.133333333333333,0.266666666666667
"1_02_02_V02Y_1",0.117647058823529,0.235294117647059,3.82352941176471,0.117647058823529,0.411764705882353,0,0,0,0,0.470588235294118,0.941176470588235,0,0,0,0,0,0,0.0588235294117647,0.714285714285714,0.0471698113207547,0.509433962264151,0,0,0.0660377358490566,0,0.377358490566038,0.207547169811321,0.0754716981132075,0.207547169811321,0.150943396226415,0.0849056603773585,0.273584905660377,2.28571428571429,3.71428571428571,4.70588235294118,5.94117647058824,1,3,1,0.705882352941177,0.176470588235294,0.588235294117647
