term,estimate,std.error,statistic,p.value,outcome,outcome_label,control_mean,n,r2,interaction_joint_p,q.value
treat_HD,0.013192420402435978,0.033531984690659905,0.3934279621125627,0.6940546534702121,bn_employed,Employed,0.475103734439834,1770,0.017030932430302625,0.41593657595159894,0.84
treat_GD_main,0.014775813045820983,0.0335270360437528,0.4407133701451729,0.659478707551104,bn_employed,Employed,0.475103734439834,1770,0.017030932430302625,0.41593657595159894,0.84
treat_GD_huge,0.015640359298391353,0.04642254331144328,0.3369130207593767,0.7362256570107022,bn_employed,Employed,0.475103734439834,1770,0.017030932430302625,0.41593657595159894,0.84
treat_combined,0.013618744245576683,0.04389263845553316,0.3102739941089116,0.7563921017040292,bn_employed,Employed,0.475103734439834,1770,0.017030932430302625,0.41593657595159894,0.84
treat_HD_RA,0.027468674343987264,0.03370068289729526,0.8150776774375642,0.4151464133752554,bn_employed,Employed,0.475103734439834,1770,0.017030932430302625,0.41593657595159894,0.667
treat_GD_main_RA,0.0063427552287084405,0.033518253250972414,0.18923286906439338,0.8499337656127463,bn_employed,Employed,0.475103734439834,1770,0.017030932430302625,0.41593657595159894,0.84
treat_GD_huge_RA,0.05460031051074832,0.04578991968415336,1.1924089600367653,0.23327374397297362,bn_employed,Employed,0.475103734439834,1770,0.017030932430302625,0.41593657595159894,0.397
treat_combined_RA,0.07150584127227232,0.04347496808940914,1.644758913341025,0.10021153342363671,bn_employed,Employed,0.475103734439834,1770,0.017030932430302625,0.41593657595159894,0.23399999999999999
RA,-0.011931899884741961,0.02403416504146255,-0.49645576886726206,0.6196395415000207,bn_employed,Employed,0.475103734439834,1770,0.017030932430302625,0.41593657595159894,0.84
treat_HD,2.636706932484907,1.6202638318867226,1.6273318459590516,0.10385908285173781,bn_productive_hrs,Productive hours,18.635062239476753,1770,0.03412143201106255,0.2680029564371514,0.23399999999999999
treat_GD_main,4.254200076924395,1.6983091976465619,2.5049620427303037,0.012342957764656876,bn_productive_hrs,Productive hours,18.635062239476753,1770,0.03412143201106255,0.2680029564371514,0.04699999999999993
