item,Control mean,Lower,Middle,Upper,Large,Combined
cash_received,0,317.16,410.65,502.96,750.3,410.65
bn_monthly_income,209.36388125134624,148.1488604873034,216.75027571369168,232.78493277026155,147.05758538050785,221.59483807267256
hh_cashgifts_inflow_ihs,23.379640781274546,41.38046227894289,60.936937100973864,60.09918729997554,73.14204814624314,57.239536150544296
total_inflows,NA,506.68932276624633,688.3372128146655,795.8441200702371,970.4996335267509,689.4843742232168
hh_month_consumption_pc,625.855005057369,126.09641474481097,169.50492766634005,146.83689737971076,226.5208592658297,174.08395168989676
hh_livestock_wealth,118.63760120623898,206.64382737468532,218.67298715840354,310.66209085523263,252.477565884152,264.6507326952011
bn_tot_prod_assetval,49.88751314572431,198.23708395732845,188.72761056342088,192.79590727569152,201.3677725985491,220.15235667472325
sav_stock,51.98745105989382,54.427371311448766,68.69961756123277,80.70757280317359,73.28766841607678,85.32043067053338
debt_stock,61.927379851247416,-1.132272769933024,-13.4046239634929,-36.179912287060844,-19.27333778114676,-3.3579141400872197
hh_lending_ihs,3.8302332369252006,3.3921428137353415,1.691742288171779,5.160993705043373,2.5342541934265808,4.705058929399426
hh_cashgifts_outflow_ihs,4.533299187232953,3.364900976976168,8.374948041049842,2.3814196117997146,1.536930462318695,3.6334946617589368
total_outflows,NA,593.294013948918,669.0764572421118,774.7247939177123,776.9983886014996,755.9039394616001
share_accounted,NA,1.1709226685690897,0.9720184304814861,0.9734629865071305,0.8006168799651405,1.0963322269822466
