outcome,outcome_label,term,estimate,std.error,p.value,q.value,completion_rate_hd,n,r2,joint_p
HD_complier,HD_complier,ubudehe1,0.010607427735916553,0.028087166753738704,0.7058110628741574,1,0.8556701030927835,668,0.1220100631884139,0.0028458600022261862
HD_complier,HD_complier,bn_female,0.014201437987502188,0.028459578250413904,0.6179528492309811,1,0.8556701030927835,668,0.1220100631884139,0.0028458600022261862
HD_complier,HD_complier,bn_age,0.012038531290223125,0.004110329024611588,0.0035265571107402894,0.07899999999999996,0.8556701030927835,668,0.1220100631884139,0.0028458600022261862
HD_complier,HD_complier,bn_edyrs,0.003713060599123689,0.006119096815552425,0.5442055068170812,1,0.8556701030927835,668,0.1220100631884139,0.0028458600022261862
HD_complier,HD_complier,hh_members,0.002522772564069805,0.007369390295376134,0.7322170809736341,1,0.8556701030927835,668,0.1220100631884139,0.0028458600022261862
HD_complier,HD_complier,bn_employed,0.09297043134613528,0.05038483222175541,0.06548186101228604,0.365,0.8556701030927835,668,0.1220100631884139,0.0028458600022261862
HD_complier,HD_complier,bn_productive_hrs,-0.00378123049838745,0.0013963398690807077,0.0069556906160425,0.09199999999999997,0.8556701030927835,668,0.1220100631884139,0.0028458600022261862
HD_complier,HD_complier,bn_monthly_income,-0.001949700083917076,0.004545955316210708,0.6681538890183218,1,0.8556701030927835,668,0.1220100631884139,0.0028458600022261862
HD_complier,HD_complier,bn_tot_prod_assetval,-7.03605946224227e-5,0.003031616787824234,0.9814910435525133,1,0.8556701030927835,668,0.1220100631884139,0.0028458600022261862
HD_complier,HD_complier,hh_month_consumption_pc,0.0026863086053570077,0.01343503746435381,0.8415865125211982,1,0.8556701030927835,668,0.1220100631884139,0.0028458600022261862
HD_complier,HD_complier,bn_consumption,-0.009171046916880313,0.005320642405901789,0.08526304002604274,0.383,0.8556701030927835,668,0.1220100631884139,0.0028458600022261862
HD_complier,HD_complier,hh_net_wealth,0.0029902174750922744,0.0023146200831944443,0.1968768251996354,0.675,0.8556701030927835,668,0.1220100631884139,0.0028458600022261862
HD_complier,HD_complier,sav_stock,-0.0018238497019903302,0.003317205307969822,0.5826432166882187,1,0.8556701030927835,668,0.1220100631884139,0.0028458600022261862
HD_complier,HD_complier,debt_stock,0.008042391060219511,0.003370424841179326,0.017322704471972514,0.15200000000000002,0.8556701030927835,668,0.1220100631884139,0.0028458600022261862
HD_complier,HD_complier,hh_livestock_wealth,0.002516221920687041,0.002619309800534169,0.33710432285668357,1,0.8556701030927835,668,0.1220100631884139,0.0028458600022261862
HD_complier,HD_complier,bn_busiknowledge,-0.012853771544765292,0.013483103531475459,0.34079546115095716,1,0.8556701030927835,668,0.1220100631884139,0.0028458600022261862
completed_WRN,completed_WRN,ubudehe1,0.014564036349723475,0.03187832562327149,0.6479285691813849,1,0.7938144329896907,668,0.15723625762978855,0.0022084142835920185
completed_WRN,completed_WRN,bn_female,0.014625279262524,0.031661365390966985,0.6442940300056952,1,0.7938144329896907,668,0.15723625762978855,0.0022084142835920185
completed_WRN,completed_WRN,bn_age,0.010021762114086922,0.0047846927362822644,0.036614668995426806,0.21999999999999997,0.7938144329896907,668,0.15723625762978855,0.0022084142835920185
completed_WRN,completed_WRN,bn_edyrs,0.005112267133651281,0.007066187672529863,0.46965470065130277,1,0.7938144329896907,668,0.15723625762978855,0.0022084142835920185
completed_WRN,completed_WRN,hh_members,0.0060819287229078095,0.007772349636125902,0.43421318263647535,1,0.7938144329896907,668,0.15723625762978855,0.0022084142835920185
completed_WRN,completed_WRN,bn_employed,0.07572388901107763,0.055489381441104435,0.172854033346476,0.596,0.7938144329896907,668,0.15723625762978855,0.0022084142835920185
completed_WRN,completed_WRN,bn_productive_hrs,-0.004136877808767951,0.0014595555889532128,0.0047408473793231695,0.07999999999999996,0.7938144329896907,668,0.15723625762978855,0.0022084142835920185
completed_WRN,completed_WRN,bn_monthly_income,-8.213560145762713e-4,0.005099549744390387,0.872094878804335,1,0.7938144329896907,668,0.15723625762978855,0.0022084142835920185
completed_WRN,completed_WRN,bn_tot_prod_assetval,3.6357281822686077e-4,0.0036710894675934746,0.9211409381253355,1,0.7938144329896907,668,0.15723625762978855,0.0022084142835920185
