term,estimate,std.error,statistic,p.value,q.value,outcome
treat_HD_any,0.01733901495200274,0.12506941662597074,0.13863513095176846,0.8898246064636173,1,hh_month_consumption_pc
treat_GD_main_any,0.2773839914840299,0.11370190778586445,2.4395720079422856,0.01524067895004436,0.29699999999999993,hh_month_consumption_pc
treat_GD_huge,0.20179088752891905,0.20085846418050132,1.00464219096876,0.315818874704545,1,hh_month_consumption_pc
sat_HD,0.04705261280098183,0.1613918530079946,0.29154267656032834,0.7708228741881694,1,hh_month_consumption_pc
sat_GD_main,0.024215148914418005,0.17903699042198312,0.13525221160914208,0.8924964539321396,1,hh_month_consumption_pc
sat_GD_huge,-0.4173977217310467,0.24937528200509754,-1.6737734324547635,0.09514020167241886,0.4,hh_month_consumption_pc
sat_HD_treat_HD_any,0.1517902932054508,0.19916220528692002,0.7621440673785289,0.4465284736928705,1,hh_month_consumption_pc
sat_GD_main_treat_HD_any,-0.07821143981779571,0.19127430219184707,-0.4088967463039027,0.6828855798152067,1,hh_month_consumption_pc
sat_GD_huge_treat_HD_any,0.08700446572051854,0.32345708890528596,0.26898302342044206,0.7881139486571815,1,hh_month_consumption_pc
sat_HD_treat_GD_main_any,-0.20195671973902518,0.17458576390481342,-1.1567765619717698,0.24821582263121555,1,hh_month_consumption_pc
sat_GD_main_treat_GD_main_any,-0.058413334233679504,0.19026059566178616,-0.3070175094874457,0.7590272732251816,1,hh_month_consumption_pc
sat_GD_huge_treat_GD_main_any,0.5549022589603618,0.28444556384749936,1.9508205768955609,0.051940166129458405,0.31999999999999995,hh_month_consumption_pc
sat_HD_treat_GD_huge,-0.04486675428335629,0.3333411156370327,-0.1345971204230643,0.8930139910756669,1,hh_month_consumption_pc
sat_GD_main_treat_GD_huge,0.18081965380290566,0.30198179170856654,0.5987766771627384,0.5497402124683453,1,hh_month_consumption_pc
sat_GD_huge_treat_GD_huge,1.213898200978224,0.5993462017093163,2.025370641402623,0.043648797587427506,0.31999999999999995,hh_month_consumption_pc
