term,estimate,std.error,statistic,p.value,outcome,outcome_label,control_mean,n,r2,p_hd_vs_lower_per_dollar,p_lower_vs_large_per_dollar,p_combined_vs_large_per_dollar,q.value
treat_HD,0.023112312350587635,0.03318998833735471,0.6963639792718807,0.4862997754475774,bn_employed,Employed,0.475103734439834,1770,0.1677138959016159,0.91249516083172,0.5671588423304089,0.8242356137246528,0.26
treat_GD_lower,0.03263726643163218,0.04581510923982037,0.7123690628083318,0.4763377847408381,bn_employed,Employed,0.475103734439834,1770,0.1677138959016159,0.91249516083172,0.5671588423304089,0.8242356137246528,0.26
treat_GD_middle,0.05017624650133056,0.0461375332569691,1.087536393024467,0.27695991944524967,bn_employed,Employed,0.475103734439834,1770,0.1677138959016159,0.91249516083172,0.5671588423304089,0.8242356137246528,0.17799999999999994
treat_GD_upper,0.0018915783655092146,0.04705445473220081,0.040199772290948455,0.9679387611567645,bn_employed,Employed,0.475103734439834,1770,0.1677138959016159,0.91249516083172,0.5671588423304089,0.8242356137246528,0.5509999999999999
treat_GD_huge,0.015136739690206808,0.04567755239401438,0.3313824602429954,0.7403980278103339,bn_employed,Employed,0.475103734439834,1770,0.1677138959016159,0.91249516083172,0.5671588423304089,0.8242356137246528,0.41100000000000003
treat_combined,0.003275854400599165,0.04306418617975144,0.07606911197452176,0.9393734091257945,bn_employed,Employed,0.475103734439834,1770,0.1677138959016159,0.91249516083172,0.5671588423304089,0.8242356137246528,0.5509999999999999
treat_HD,2.9947767356865436,1.578065855122553,1.8977514315801278,0.05790462104962559,bn_productive_hrs,Productive hours,18.635062239476753,1770,0.19412833906507976,0.6451217207341207,0.39787681627317883,0.7292000126115423,0.050999999999999934
treat_GD_lower,2.4578585910005586,2.2407427726411573,1.096894574875048,0.27284880837882525,bn_productive_hrs,Productive hours,18.635062239476753,1770,0.19412833906507976,0.6451217207341207,0.39787681627317883,0.7292000126115423,0.17799999999999994
treat_GD_middle,6.353759219239046,2.4030316406532375,2.644059741765134,0.00827007412557705,bn_productive_hrs,Productive hours,18.635062239476753,1770,0.19412833906507976,0.6451217207341207,0.39787681627317883,0.7292000126115423,0.01100000000000001
treat_GD_upper,3.8838434426933457,2.5347889753881936,1.532215691485146,0.12566243876003594,bn_productive_hrs,Productive hours,18.635062239476753,1770,0.19412833906507976,0.6451217207341207,0.39787681627317883,0.7292000126115423,0.10299999999999998
treat_GD_huge,1.2762065747443345,2.0883133706141694,0.6111183276909271,0.5412060933074154,bn_productive_hrs,Productive hours,18.635062239476753,1770,0.19412833906507976,0.6451217207341207,0.39787681627317883,0.7292000126115423,0.28300000000000003
treat_combined,2.121771236443321,2.0407431531458604,1.0397051844434975,0.29863042699779263,bn_productive_hrs,Productive hours,18.635062239476753,1770,0.19412833906507976,0.6451217207341207,0.39787681627317883,0.7292000126115423,0.18499999999999994
treat_HD,0.29940279971456407,0.2579367555679054,1.1607605091231061,0.24590854838838666,bn_monthly_income,Monthly income,8.052206556687258,1770,0.2138707577095883,0.35940913055857704,0.29160289225614316,0.34789086424760696,0.17399999999999993
treat_GD_lower,0.7076142245827362,0.36542712994876836,1.936403092682093,0.052990280320083114,bn_monthly_income,Monthly income,8.052206556687258,1770,0.2138707577095883,0.35940913055857704,0.29160289225614316,0.34789086424760696,0.04999999999999993
treat_GD_middle,1.0352801754447698,0.34307233768243284,3.0176731310907488,0.0025865414616157217,bn_monthly_income,Monthly income,8.052206556687258,1770,0.2138707577095883,0.35940913055857704,0.29160289225614316,0.34789086424760696,0.0050000000000000044
treat_GD_upper,1.1118676792717546,0.3470732401246143,3.203553459991747,0.0013835487272631595,bn_monthly_income,Monthly income,8.052206556687258,1770,0.2138707577095883,0.35940913055857704,0.29160289225614316,0.34789086424760696,0.0040000000000000036
treat_GD_huge,0.7024018875727747,0.3434107886877165,2.045369309033298,0.040978028878342954,bn_monthly_income,Monthly income,8.052206556687258,1770,0.2138707577095883,0.35940913055857704,0.29160289225614316,0.34789086424760696,0.040000000000000036
treat_combined,1.0584196125340395,0.3210946477593328,3.296285440819142,0.00100068869187,bn_monthly_income,Monthly income,8.052206556687258,1770,0.2138707577095883,0.35940913055857704,0.29160289225614316,0.34789086424760696,0.0030000000000000027
treat_HD,1.5260910454043817,0.3568263384787327,4.276845290935099,2.0051254762781775e-5,bn_tot_prod_assetval,Productive assets,5.606797100139101,1770,0.25905633436233877,1.3669338497082442e-5,5.249256441870805e-6,0.44805260778300227,0.0010000000000000009
treat_GD_lower,3.9736814175977555,0.46684351502893984,8.511805968540497,3.8121151023920396e-17,bn_tot_prod_assetval,Productive assets,5.606797100139101,1770,0.25905633436233877,1.3669338497082442e-5,5.249256441870805e-6,0.44805260778300227,0.0010000000000000009
treat_GD_middle,3.7830631086407656,0.5044308443427296,7.499666507447764,1.0434155830613904e-13,bn_tot_prod_assetval,Productive assets,5.606797100139101,1770,0.25905633436233877,1.3669338497082442e-5,5.249256441870805e-6,0.44805260778300227,0.0010000000000000009
treat_GD_upper,3.8646125075933035,0.4592909206350332,8.414301990228639,8.495285275762076e-17,bn_tot_prod_assetval,Productive assets,5.606797100139101,1770,0.25905633436233877,1.3669338497082442e-5,5.249256441870805e-6,0.44805260778300227,0.0010000000000000009
treat_GD_huge,4.036436372571673,0.4706879596198224,8.575609998250068,2.2465006123670493e-17,bn_tot_prod_assetval,Productive assets,5.606797100139101,1770,0.25905633436233877,1.3669338497082442e-5,5.249256441870805e-6,0.44805260778300227,0.0010000000000000009
treat_combined,4.4129751673859845,0.4418642790459466,9.987173384810108,7.694683755828644e-23,bn_tot_prod_assetval,Productive assets,5.606797100139101,1770,0.25905633436233877,1.3669338497082442e-5,5.249256441870805e-6,0.44805260778300227,0.0010000000000000009
treat_HD,0.053159540111556325,0.058762967684102156,0.9046435571009837,0.3657899348323187,hh_month_consumption_pc,HH consumption per capita,9.463587482422488,1737,0.3295252567209418,0.10493271666945775,0.6731585950667924,0.32670960838598295,0.22399999999999998
treat_GD_lower,0.20147863918297232,0.07933235818901863,2.539677929438652,0.011189042295526138,hh_month_consumption_pc,HH consumption per capita,9.463587482422488,1737,0.3295252567209418,0.10493271666945775,0.6731585950667924,0.32670960838598295,0.013000000000000012
treat_GD_middle,0.27083737654347334,0.08801884572614277,3.077038494530394,0.002126014207153498,hh_month_consumption_pc,HH consumption per capita,9.463587482422488,1737,0.3295252567209418,0.10493271666945775,0.6731585950667924,0.32670960838598295,0.0040000000000000036
treat_GD_upper,0.2346180763805683,0.07524670677392059,3.117984645965709,0.0018532339790664552,hh_month_consumption_pc,HH consumption per capita,9.463587482422488,1737,0.3295252567209418,0.10493271666945775,0.6731585950667924,0.32670960838598295,0.0040000000000000036
treat_GD_huge,0.36193824038375416,0.07493351958820202,4.830124654130618,1.4944865573707788e-6,hh_month_consumption_pc,HH consumption per capita,9.463587482422488,1737,0.3295252567209418,0.10493271666945775,0.6731585950667924,0.32670960838598295,0.0010000000000000009
treat_combined,0.27815380604640105,0.06658188677305533,4.177619763081956,3.1041425037559805e-5,hh_month_consumption_pc,HH consumption per capita,9.463587482422488,1737,0.3295252567209418,0.10493271666945775,0.6731585950667924,0.32670960838598295,0.0010000000000000009
