outcome,outcome_label,specification,estimate,std.error,p.value
bn_employed,Employed,Base_Linear,-0.012484163393272038,0.041526670034562625,0.7637393859319787
bn_employed,Employed,Quadratic,-0.026925256033152222,0.06730685057486926,0.6891874264758671
bn_employed,Employed,Cubic,0.06333934444214533,0.1440057972669134,0.660118836744297
bn_employed,Employed,Drop_lower,-0.015427517635665458,0.058123876026839424,0.7907236228763976
bn_employed,Employed,Drop_mid,-0.0038352054061737088,0.0466688888629965,0.9345168313656552
bn_employed,Employed,Drop_upper,-0.026089013276725147,0.0430797839666153,0.5448861910599567
bn_employed,Employed,Drop_huge,-0.021110468244156376,0.05496829135748065,0.7010052135033481
bn_productive_hrs,Productive hours,Base_Linear,-1.616218058533892,2.1353186193100457,0.44923302449320757
bn_productive_hrs,Productive hours,Quadratic,1.8205067636391916,3.4527335573413556,0.5980893317822722
bn_productive_hrs,Productive hours,Cubic,8.394444983563933,7.539812628297162,0.26574146072452265
bn_productive_hrs,Productive hours,Drop_lower,-4.588783953314247,3.0615507438068583,0.1341531050774181
bn_productive_hrs,Productive hours,Drop_mid,-0.26773624386189915,2.3821084867961635,0.9105276531179065
bn_productive_hrs,Productive hours,Drop_upper,-1.7120810435746234,2.153543258316347,0.426752707475897
bn_productive_hrs,Productive hours,Drop_huge,0.726491072528531,2.8033967205991064,0.7955628136905725
bn_monthly_income,Monthly income,Base_Linear,-0.6522779580104072,0.326577067299466,0.045975800790537286
bn_monthly_income,Monthly income,Quadratic,-0.13030116985089568,0.5363565968006975,0.808087836492219
bn_monthly_income,Monthly income,Cubic,-0.08740760080438514,1.107406901583534,0.9370991211963415
bn_monthly_income,Monthly income,Drop_lower,-0.9601110327604815,0.4257488177828387,0.024289347146579376
bn_monthly_income,Monthly income,Drop_mid,-0.6253593102169042,0.37273662611277253,0.09363331613374154
bn_monthly_income,Monthly income,Drop_upper,-0.5916457451692747,0.3396240608465683,0.08173090792556482
bn_monthly_income,Monthly income,Drop_huge,-0.2676421693849049,0.44283330837652024,0.5456919823730437
bn_tot_prod_assetval,Productive assets,Base_Linear,-2.293166743785897,0.4352542693326229,1.5805568363476637e-7
bn_tot_prod_assetval,Productive assets,Quadratic,-2.5302501714034946,0.6817794986556998,2.1397823846506841e-4
bn_tot_prod_assetval,Productive assets,Cubic,-2.76601998312829,1.531122311358483,0.07104097557555729
bn_tot_prod_assetval,Productive assets,Drop_lower,-2.1739188129538913,0.6077097502273706,3.597902495811272e-4
bn_tot_prod_assetval,Productive assets,Drop_mid,-2.2949909690390378,0.48026325978058176,1.9634066648091114e-6
bn_tot_prod_assetval,Productive assets,Drop_upper,-2.306458484667157,0.4519687851879606,3.829309919703184e-7
bn_tot_prod_assetval,Productive assets,Drop_huge,-2.4865816312634035,0.5651211523755906,1.1700447476007843e-5
hh_month_consumption_pc,HH consumption per capita,Base_Linear,-0.1346201284306197,0.07660168167021805,0.07906227633274472
hh_month_consumption_pc,HH consumption per capita,Quadratic,-0.1538536917441976,0.11629783425831501,0.1860701496990206
hh_month_consumption_pc,HH consumption per capita,Cubic,0.004421883430365203,0.2663439850306329,0.9867563169248073
hh_month_consumption_pc,HH consumption per capita,Drop_lower,-0.1586415427518212,0.10667522455307196,0.1372197208684426
hh_month_consumption_pc,HH consumption per capita,Drop_mid,-0.10973358027957902,0.08366739153404625,0.18990694890820634
hh_month_consumption_pc,HH consumption per capita,Drop_upper,-0.14856900759245728,0.08079841034378124,0.06617966746033391
hh_month_consumption_pc,HH consumption per capita,Drop_huge,-0.1583805956124249,0.09717759489078673,0.1033884222788831
