term,estimate,std.error,statistic,p.value,outcome,outcome_label,control_mean,n,r2,p_hd_vs_lower_per_dollar,p_lower_vs_large_per_dollar,p_combined_vs_large_per_dollar,q.value
treat_HD,0.1829338659696936,0.0663121211707882,2.758679148545765,0.005868131086887144,bn_swb,Subjective well-being,1.0488006089238211e-8,1770,0.13594260342788622,0.07101439742874643,0.1271208239996495,0.18624206071923324,0.0050000000000000044
treat_GD_lower,0.39251134710754393,0.09375881643432693,4.186394005757072,2.9848843953653418e-5,bn_swb,Subjective well-being,1.0488006089238211e-8,1770,0.13594260342788622,0.07101439742874643,0.1271208239996495,0.18624206071923324,0.0010000000000000009
treat_GD_middle,0.5264648724598563,0.09780649930748544,5.382718696482006,8.400417141099674e-8,bn_swb,Subjective well-being,1.0488006089238211e-8,1770,0.13594260342788622,0.07101439742874643,0.1271208239996495,0.18624206071923324,0.0010000000000000009
treat_GD_upper,0.47270371839269093,0.09378842590773313,5.0401071754602835,5.168459703295226e-7,bn_swb,Subjective well-being,1.0488006089238211e-8,1770,0.13594260342788622,0.07101439742874643,0.1271208239996495,0.18624206071923324,0.0010000000000000009
treat_GD_huge,0.5445740707000762,0.09089850183953953,5.991012609442089,2.5589154504936274e-9,bn_swb,Subjective well-being,1.0488006089238211e-8,1770,0.13594260342788622,0.07101439742874643,0.1271208239996495,0.18624206071923324,0.0010000000000000009
treat_combined,0.40209394738299564,0.08651982173702635,4.647419970479651,3.630391524855604e-6,bn_swb,Subjective well-being,1.0488006089238211e-8,1770,0.13594260342788622,0.07101439742874643,0.1271208239996495,0.18624206071923324,0.0010000000000000009
treat_HD,-0.04681580746027137,0.07222069394403509,-0.6482325896307456,0.5169254380492654,bn_mental_health,Mental health,2.3959335944464594e-9,1770,0.07746528474269587,0.882423898979947,0.20796673204742797,0.8682932152923548,0.277
treat_GD_lower,-0.07090361257123591,0.09395432605585596,-0.7546604349977842,0.45056130091187696,bn_mental_health,Mental health,2.3959335944464594e-9,1770,0.07746528474269587,0.882423898979947,0.20796673204742797,0.8682932152923548,0.267
treat_GD_middle,0.059895537576341716,0.0944337735952571,0.63425970705199,0.5259999678185334,bn_mental_health,Mental health,2.3959335944464594e-9,1770,0.07746528474269587,0.882423898979947,0.20796673204742797,0.8682932152923548,0.277
treat_GD_upper,0.007698217464007327,0.09299127166188306,0.08278430143420451,0.9340331729315685,bn_mental_health,Mental health,2.3959335944464594e-9,1770,0.07746528474269587,0.882423898979947,0.20796673204742797,0.8682932152923548,0.389
treat_GD_huge,0.10165881572007439,0.09709001518909792,1.0470573675581163,0.29522769141462696,bn_mental_health,Mental health,2.3959335944464594e-9,1770,0.07746528474269587,0.882423898979947,0.20796673204742797,0.8682932152923548,0.17399999999999993
treat_combined,0.11990669551083366,0.09060803637768176,1.3233560763973098,0.18590178591967024,bn_mental_health,Mental health,2.3959335944464594e-9,1770,0.07746528474269587,0.882423898979947,0.20796673204742797,0.8682932152923548,0.122
treat_HD,0.14679745210323122,0.11502182766566282,1.2762573424753039,0.20204560042969513,bn_consumption,Beneficiary-specific consumption,8.270251263650216,1770,0.24495416010589643,0.015596979968213203,0.014409322349154584,0.11215462135248294,0.123
treat_GD_lower,0.4896580397055415,0.11603571146804519,4.219890872478404,2.5782353519997433e-5,bn_consumption,Beneficiary-specific consumption,8.270251263650216,1770,0.24495416010589643,0.015596979968213203,0.014409322349154584,0.11215462135248294,0.0010000000000000009
treat_GD_middle,0.6022733828691117,0.13451134234613205,4.4774914320556585,8.07476454579596e-6,bn_consumption,Beneficiary-specific consumption,8.270251263650216,1770,0.24495416010589643,0.015596979968213203,0.014409322349154584,0.11215462135248294,0.0010000000000000009
treat_GD_upper,0.6213373253008172,0.1185514356928203,5.241078032245598,1.803844321251624e-7,bn_consumption,Beneficiary-specific consumption,8.270251263650216,1770,0.24495416010589643,0.015596979968213203,0.014409322349154584,0.11215462135248294,0.0010000000000000009
treat_GD_huge,0.453602223481434,0.14825304946967505,3.0596485205804664,0.002251945794791398,bn_consumption,Beneficiary-specific consumption,8.270251263650216,1770,0.24495416010589643,0.015596979968213203,0.014409322349154584,0.11215462135248294,0.0030000000000000027
treat_combined,0.6896547658987306,0.11659436782980663,5.91499211098621,4.032588035517325e-9,bn_consumption,Beneficiary-specific consumption,8.270251263650216,1770,0.24495416010589643,0.015596979968213203,0.014409322349154584,0.11215462135248294,0.0010000000000000009
treat_HD,-0.32330018892351176,0.3960552826377983,-0.8163006607821899,0.41444696329773956,hh_net_wealth,HH net non-land wealth,11.283266153214273,1770,0.2333328597910107,0.6090909050070958,0.3689754224067904,0.692398417234189,0.22599999999999998
treat_GD_lower,-0.05713186200444498,0.5960366488824717,-0.09585293473406938,0.9236491072514921,hh_net_wealth,HH net non-land wealth,11.283266153214273,1770,0.2333328597910107,0.6090909050070958,0.3689754224067904,0.692398417234189,0.392
treat_GD_middle,1.1024234554928218,0.42388806989459465,2.600741879258253,0.009386007042715108,hh_net_wealth,HH net non-land wealth,11.283266153214273,1770,0.2333328597910107,0.6090909050070958,0.3689754224067904,0.692398417234189,0.010000000000000009
treat_GD_upper,1.1412496227019748,0.40832811527572566,2.7949327514010154,0.005251611054165041,hh_net_wealth,HH net non-land wealth,11.283266153214273,1770,0.2333328597910107,0.6090909050070958,0.3689754224067904,0.692398417234189,0.006000000000000005
treat_GD_huge,0.9848220224984294,0.40846372722321833,2.411039112807785,0.01601668921531227,hh_net_wealth,HH net non-land wealth,11.283266153214273,1770,0.2333328597910107,0.6090909050070958,0.3689754224067904,0.692398417234189,0.014000000000000012
treat_combined,0.782958989555349,0.45820696669059624,1.7087452755471553,0.08768769956703436,hh_net_wealth,HH net non-land wealth,11.283266153214273,1770,0.2333328597910107,0.6090909050070958,0.3689754224067904,0.692398417234189,0.06299999999999994
treat_HD,-0.060543619518297356,0.3696931529584071,-0.16376721893226112,0.8699346147027482,hh_livestock_wealth,HH livestock wealth,7.8050853682509205,1770,0.2564831836143512,5.012665492517179e-4,0.11474407104185068,0.8236666217340781,0.392
treat_GD_lower,1.7418071949672749,0.49071459879710455,3.5495320482353505,3.968195767851423e-4,hh_livestock_wealth,HH livestock wealth,7.8050853682509205,1770,0.2564831836143512,5.012665492517179e-4,0.11474407104185068,0.8236666217340781,0.0010000000000000009
treat_GD_middle,1.8432013538293275,0.5183645763467898,3.5558011444752196,3.875465877133741e-4,hh_livestock_wealth,HH livestock wealth,7.8050853682509205,1770,0.2564831836143512,5.012665492517179e-4,0.11474407104185068,0.8236666217340781,0.0010000000000000009
treat_GD_upper,2.6185803463370716,0.4514686085194319,5.800138253077155,7.937207271643967e-9,hh_livestock_wealth,HH livestock wealth,7.8050853682509205,1770,0.2564831836143512,5.012665492517179e-4,0.11474407104185068,0.8236666217340781,0.0010000000000000009
treat_GD_huge,2.1281411906267924,0.47605924854094217,4.470328424769102,8.34660483972341e-6,hh_livestock_wealth,HH livestock wealth,7.8050853682509205,1770,0.2564831836143512,5.012665492517179e-4,0.11474407104185068,0.8236666217340781,0.0010000000000000009
treat_combined,2.230749189164181,0.45109216901495436,4.945218166911314,8.38675528582141e-7,hh_livestock_wealth,HH livestock wealth,7.8050853682509205,1770,0.2564831836143512,5.012665492517179e-4,0.11474407104185068,0.8236666217340781,0.0010000000000000009
treat_HD,1.0232464434388089,0.23323078102157682,4.3872701491495905,1.221091302717918e-5,sav_stock,Savings,9.238061676149876,1770,0.21097698846861834,0.6031394509797736,0.20353417221082765,0.4438766501398298,0.0010000000000000009
treat_GD_lower,1.046932869410042,0.31802074168908323,3.292027003803382,0.0010158627735941577,sav_stock,Savings,9.238061676149876,1770,0.21097698846861834,0.6031394509797736,0.20353417221082765,0.4438766501398298,0.0020000000000000018
treat_GD_middle,1.3214653952178799,0.3279734712872037,4.029183793529091,5.853642497973444e-5,sav_stock,Savings,9.238061676149876,1770,0.21097698846861834,0.6031394509797736,0.20353417221082765,0.4438766501398298,0.0010000000000000009
treat_GD_upper,1.5524433523426995,0.3010845707729733,5.156170402080444,2.826929976276449e-7,sav_stock,Savings,9.238061676149876,1770,0.21097698846861834,0.6031394509797736,0.20353417221082765,0.4438766501398298,0.0010000000000000009
treat_GD_huge,1.4097184401605565,0.3044225278789524,4.630795394751807,3.930339436969005e-6,sav_stock,Savings,9.238061676149876,1770,0.21097698846861834,0.6031394509797736,0.20353417221082765,0.4438766501398298,0.0010000000000000009
treat_combined,1.6411735703725352,0.2685248557495361,6.111812501645373,1.2287635920192178e-9,sav_stock,Savings,9.238061676149876,1770,0.21097698846861834,0.6031394509797736,0.20353417221082765,0.4438766501398298,0.0010000000000000009
treat_HD,0.4392791125938843,0.2819580291191194,1.5579592252302954,0.11943620904792239,debt_stock,Debt,8.753167564808846,1770,0.20707409824242495,0.21934832904109589,0.7613684832463444,0.6048488293901839,0.08099999999999996
treat_GD_lower,-0.01828387980652174,0.4098520628175777,-0.04461092541739815,0.9644228750064897,debt_stock,Debt,8.753167564808846,1770,0.20707409824242495,0.21934832904109589,0.7613684832463444,0.6048488293901839,0.392
treat_GD_middle,-0.2164571469952622,0.4299511349246522,-0.5034459253914884,0.6147185249366901,debt_stock,Debt,8.753167564808846,1770,0.20707409824242495,0.21934832904109589,0.7613684832463444,0.6048488293901839,0.32699999999999996
treat_GD_upper,-0.5842312782159806,0.4414860233020275,-1.3233290464017677,0.18591076878381085,debt_stock,Debt,8.753167564808846,1770,0.20707409824242495,0.21934832904109589,0.7613684832463444,0.6048488293901839,0.123
treat_GD_huge,-0.3112248221617362,0.4245302270333392,-0.7331040343972847,0.4635999434908351,debt_stock,Debt,8.753167564808846,1770,0.20707409824242495,0.21934832904109589,0.7613684832463444,0.6048488293901839,0.243
