outcome,outcome_label,term,estimate,std.error,p.value,q.value,control_mean,n,r2,joint_p
ubudehe1,Ubudehe category I,treat_HD,0.00742649758863621,0.03204607761951848,0.8167668174900706,1,0.3177966101694915,1720,0.07268913124591458,0.7251433626593138
ubudehe1,Ubudehe category I,treat_GD_lower,0.004537950477197416,0.047292822844492405,0.9235691169957538,1,0.3177966101694915,1720,0.07268913124591458,0.7251433626593138
ubudehe1,Ubudehe category I,treat_GD_middle,0.07024678417626527,0.04824343263349184,0.14556790936464176,1,0.3177966101694915,1720,0.07268913124591458,0.7251433626593138
ubudehe1,Ubudehe category I,treat_GD_upper,0.012838706166813044,0.043320138982725014,0.7669882518290541,1,0.3177966101694915,1720,0.07268913124591458,0.7251433626593138
ubudehe1,Ubudehe category I,treat_GD_huge,0.007340228879471595,0.044871162812999195,0.8700792912529602,1,0.3177966101694915,1720,0.07268913124591458,0.7251433626593138
ubudehe1,Ubudehe category I,treat_combined,-0.0319177228594085,0.0401564232729884,0.426829890666351,1,0.3177966101694915,1720,0.07268913124591458,0.7251433626593138
bn_female,Beneficiary female,treat_HD,0.012692268476785864,0.031902560873603505,0.6907971927175197,1,0.6037344398340249,1770,0.03736837678230687,0.6821140899296341
bn_female,Beneficiary female,treat_GD_lower,-0.018480720328040323,0.04522835270879015,0.6828806952177713,1,0.6037344398340249,1770,0.03736837678230687,0.6821140899296341
bn_female,Beneficiary female,treat_GD_middle,0.03364477089447604,0.04533181593027182,0.45808088093958066,1,0.6037344398340249,1770,0.03736837678230687,0.6821140899296341
bn_female,Beneficiary female,treat_GD_upper,-0.020193319067363533,0.04328607716759333,0.6409145869953847,1,0.6037344398340249,1770,0.03736837678230687,0.6821140899296341
bn_female,Beneficiary female,treat_GD_huge,0.02082163933904501,0.04165829621594325,0.6172701318851459,1,0.6037344398340249,1770,0.03736837678230687,0.6821140899296341
bn_female,Beneficiary female,treat_combined,-0.05164588363638441,0.04221078411329383,0.22131065107563688,1,0.6037344398340249,1770,0.03736837678230687,0.6821140899296341
bn_age,Beneficiary age,treat_HD,-0.2118889885543923,0.22996244429658683,0.35697571786305393,1,23.58298755186722,1770,0.03241774929470709,0.12187687544633613
bn_age,Beneficiary age,treat_GD_lower,-0.41194372522353573,0.3144701468323054,0.19039533507639453,1,23.58298755186722,1770,0.03241774929470709,0.12187687544633613
bn_age,Beneficiary age,treat_GD_middle,-0.11765359990829079,0.33707816967027576,0.7271051750365989,1,23.58298755186722,1770,0.03241774929470709,0.12187687544633613
bn_age,Beneficiary age,treat_GD_upper,-0.6640685712508774,0.3165338914195687,0.03606573855210015,1,23.58298755186722,1770,0.03241774929470709,0.12187687544633613
bn_age,Beneficiary age,treat_GD_huge,0.42769193523604276,0.32464969490316226,0.18789318546871372,1,23.58298755186722,1770,0.03241774929470709,0.12187687544633613
bn_age,Beneficiary age,treat_combined,-0.3278188667815466,0.3058585893008158,0.28397065055590803,1,23.58298755186722,1770,0.03241774929470709,0.12187687544633613
bn_edyrs,Beneficiary years of education,treat_HD,0.109239978869137,0.14678002572730894,0.4568379313023967,1,7.553941908713693,1770,0.06718893363689915,0.9106090885994851
bn_edyrs,Beneficiary years of education,treat_GD_lower,0.10012270027272323,0.21571238377619378,0.6426035497722937,1,7.553941908713693,1770,0.06718893363689915,0.9106090885994851
bn_edyrs,Beneficiary years of education,treat_GD_middle,-0.03477089458649115,0.21090010687292737,0.8690677202434842,1,7.553941908713693,1770,0.06718893363689915,0.9106090885994851
bn_edyrs,Beneficiary years of education,treat_GD_upper,0.06903079594717254,0.19544735124366588,0.723989266243183,1,7.553941908713693,1770,0.06718893363689915,0.9106090885994851
bn_edyrs,Beneficiary years of education,treat_GD_huge,0.03499716851139184,0.2050193856969057,0.8644796801797591,1,7.553941908713693,1770,0.06718893363689915,0.9106090885994851
bn_edyrs,Beneficiary years of education,treat_combined,-0.1439388823296958,0.1900727856893864,0.44899089374604295,1,7.553941908713693,1770,0.06718893363689915,0.9106090885994851
hh_members,Household members,treat_HD,-0.3215643833195472,0.1560995023801467,0.03955931449195648,1,4.981327800829876,1766,0.031987752769757405,0.258988007008227
hh_members,Household members,treat_GD_lower,-0.35636716753775133,0.23564694171106734,0.13065565261502987,1,4.981327800829876,1766,0.031987752769757405,0.258988007008227
hh_members,Household members,treat_GD_middle,-0.02747100127934957,0.3299609784313164,0.9336588894716475,1,4.981327800829876,1766,0.031987752769757405,0.258988007008227
hh_members,Household members,treat_GD_upper,0.0017957216457036539,0.20481505312651338,0.9930057008683166,1,4.981327800829876,1766,0.031987752769757405,0.258988007008227
hh_members,Household members,treat_GD_huge,-0.0657615861491262,0.2178569875824793,0.7628003090711223,1,4.981327800829876,1766,0.031987752769757405,0.258988007008227
hh_members,Household members,treat_combined,-0.3230339987293691,0.18610347650808634,0.0827947220072592,1,4.981327800829876,1766,0.031987752769757405,0.258988007008227
bn_employed,Employed,treat_HD,0.03682206837278279,0.03131716510635342,0.23985656173728773,1,0.3257261410788382,1770,0.016209336201913338,0.7324969898829177
bn_employed,Employed,treat_GD_lower,-0.0021403220290305515,0.04440979407595829,0.9615669412290876,1,0.3257261410788382,1770,0.016209336201913338,0.7324969898829177
bn_employed,Employed,treat_GD_middle,-0.029974575684468603,0.04263294608713817,0.4821043139687998,1,0.3257261410788382,1770,0.016209336201913338,0.7324969898829177
bn_employed,Employed,treat_GD_upper,0.009598392964904025,0.04422690421774499,0.8282154265320703,1,0.3257261410788382,1770,0.016209336201913338,0.7324969898829177
bn_employed,Employed,treat_GD_huge,0.036622371845988703,0.044703053912762275,0.4127724638774283,1,0.3257261410788382,1770,0.016209336201913338,0.7324969898829177
bn_employed,Employed,treat_combined,0.02769174461407296,0.04138370441676578,0.5034979826450241,1,0.3257261410788382,1770,0.016209336201913338,0.7324969898829177
bn_productive_hrs,Productive hours,treat_HD,0.4452087747157494,1.2762563477949465,0.7272552200522259,1,10.812240663900415,1770,0.016279631886457202,0.8758340366141331
bn_productive_hrs,Productive hours,treat_GD_lower,-1.1685524886232925,1.6780363952231017,0.4862905954230652,1,10.812240663900415,1770,0.016279631886457202,0.8758340366141331
bn_productive_hrs,Productive hours,treat_GD_middle,0.19123009897956006,1.8233952469078467,0.9164873651931262,1,10.812240663900415,1770,0.016279631886457202,0.8758340366141331
bn_productive_hrs,Productive hours,treat_GD_upper,2.1733987300591817,2.036010442966475,0.2859151554793407,1,10.812240663900415,1770,0.016279631886457202,0.8758340366141331
bn_productive_hrs,Productive hours,treat_GD_huge,0.44276390929284115,1.6546841352382213,0.7890551746336668,1,10.812240663900415,1770,0.016279631886457202,0.8758340366141331
bn_productive_hrs,Productive hours,treat_combined,-0.12534950585481236,1.5357758931398338,0.9349592870921406,1,10.812240663900415,1770,0.016279631886457202,0.8758340366141331
