term,estimate,std.error,statistic,p.value,outcome,outcome_label,control_mean,n,r2,p_hd_vs_lower_per_dollar,p_lower_vs_large_per_dollar,p_combined_vs_large_per_dollar,q.value
treat_HD,0.10602919280070552,0.30008694562809357,0.35332824151607906,0.7238895405766546,hh_lending_ihs,"Total amount lent by HH, IHS",2.2399721048925674,1705,0.14989012868570872,0.1054126016980114,0.1886309625894269,0.26756347681066717,0.31899999999999995
treat_GD_lower,0.8856230427519487,0.44084582693026914,2.00891783170272,0.044715793521847104,hh_lending_ihs,"Total amount lent by HH, IHS",2.2399721048925674,1705,0.14989012868570872,0.1054126016980114,0.1886309625894269,0.26756347681066717,0.052999999999999936
treat_GD_middle,0.4416812720078269,0.44695487387709587,0.9882010418109478,0.32320559868238974,hh_lending_ihs,"Total amount lent by HH, IHS",2.2399721048925674,1705,0.14989012868570872,0.1054126016980114,0.1886309625894269,0.26756347681066717,0.16500000000000004
treat_GD_upper,1.3474358833527507,0.4560082873081921,2.9548495517628375,0.0031745516390694582,hh_lending_ihs,"Total amount lent by HH, IHS",2.2399721048925674,1705,0.14989012868570872,0.1054126016980114,0.1886309625894269,0.26756347681066717,0.006000000000000005
treat_GD_huge,0.6616448755640286,0.41707164978752176,1.5864057792015,0.11284751384036135,hh_lending_ihs,"Total amount lent by HH, IHS",2.2399721048925674,1705,0.14989012868570872,0.1054126016980114,0.1886309625894269,0.26756347681066717,0.09899999999999998
treat_combined,1.2284001099568835,0.4284095115739928,2.8673502262909496,0.00419418772208974,hh_lending_ihs,"Total amount lent by HH, IHS",2.2399721048925674,1705,0.14989012868570872,0.1054126016980114,0.1886309625894269,0.26756347681066717,0.007000000000000006
treat_HD,-0.3634005360121977,0.36312714880031516,-1.0007528691060026,0.31710002385686537,hh_cashgifts_inflow_ihs,"Total amount of cash gifts received, IHS",4.897773711507036,1704,0.17732497234607003,2.1272391405185426e-4,0.5838182746038072,0.2983653814817204,0.16500000000000004
treat_GD_lower,1.7699357601801027,0.5673067361246906,3.119892022207685,0.0018419851611172844,hh_cashgifts_inflow_ihs,"Total amount of cash gifts received, IHS",4.897773711507036,1704,0.17732497234607003,2.1272391405185426e-4,0.5838182746038072,0.2983653814817204,0.0050000000000000044
treat_GD_middle,2.6064103238823106,0.5464633144243134,4.769597985965635,2.0165843872636188e-6,hh_cashgifts_inflow_ihs,"Total amount of cash gifts received, IHS",4.897773711507036,1704,0.17732497234607003,2.1272391405185426e-4,0.5838182746038072,0.2983653814817204,0.0010000000000000009
treat_GD_upper,2.570577874237947,0.5931082379969287,4.334078857038668,1.5563803477789964e-5,hh_cashgifts_inflow_ihs,"Total amount of cash gifts received, IHS",4.897773711507036,1704,0.17732497234607003,2.1272391405185426e-4,0.5838182746038072,0.2983653814817204,0.0010000000000000009
treat_GD_huge,3.1284504681023497,0.5265045061639525,5.941925342474004,3.461015638179505e-9,hh_cashgifts_inflow_ihs,"Total amount of cash gifts received, IHS",4.897773711507036,1704,0.17732497234607003,2.1272391405185426e-4,0.5838182746038072,0.2983653814817204,0.0010000000000000009
treat_combined,2.448264140841255,0.5030245206484486,4.8670870709944705,1.2460851624079355e-6,hh_cashgifts_inflow_ihs,"Total amount of cash gifts received, IHS",4.897773711507036,1704,0.17732497234607003,2.1272391405185426e-4,0.5838182746038072,0.2983653814817204,0.0010000000000000009
treat_HD,0.3331248091963599,0.3228200547087845,1.0319210480800869,0.30227040094878693,hh_cashgifts_outflow_ihs,"Total amount of cash gifts given, IHS",3.4055504318071557,1675,0.15154323148391646,0.43944993550196376,0.160103559218023,0.38818628409968237,0.16500000000000004
treat_GD_lower,0.7422631593459961,0.42118605872946335,1.7623165438691961,0.07821328643868504,hh_cashgifts_outflow_ihs,"Total amount of cash gifts given, IHS",3.4055504318071557,1675,0.15154323148391646,0.43944993550196376,0.160103559218023,0.38818628409968237,0.07699999999999996
treat_GD_middle,1.8474289243110302,0.478903723441642,3.8576207155677986,1.1919770212546136e-4,hh_cashgifts_outflow_ihs,"Total amount of cash gifts given, IHS",3.4055504318071557,1675,0.15154323148391646,0.43944993550196376,0.160103559218023,0.38818628409968237,0.0010000000000000009
treat_GD_upper,0.5253171064699331,0.46933851015852823,1.1192712617860765,0.26319818492924973,hh_cashgifts_outflow_ihs,"Total amount of cash gifts given, IHS",3.4055504318071557,1675,0.15154323148391646,0.43944993550196376,0.160103559218023,0.38818628409968237,0.16500000000000004
treat_GD_huge,0.3390313321139544,0.4425022577394125,0.7661685927794936,0.4436928813399913,hh_cashgifts_outflow_ihs,"Total amount of cash gifts given, IHS",3.4055504318071557,1675,0.15154323148391646,0.43944993550196376,0.160103559218023,0.38818628409968237,0.20399999999999996
treat_combined,0.8015122125607507,0.4499946985360729,1.781159234027063,0.07508259836192316,hh_cashgifts_outflow_ihs,"Total amount of cash gifts given, IHS",3.4055504318071557,1675,0.15154323148391646,0.43944993550196376,0.160103559218023,0.38818628409968237,0.07699999999999996
