outcome,outcome_label,estimate,std.error,p.value,q.value,control_mean,n,r2
ubudehe1,Ubudehe category I,-0.09999999999999998,0.08726588390681778,0.25414552978714666,1,0.38333333333333336,120,0.011249999999999427
bn_female,Beneficiary female,0,0.08702744920003112,1,1,0.6229508196721312,122,-6.661338147750939e-16
bn_age,Beneficiary age,1.6557377049180317,0.6065612608773702,0.0072934841642506,0.133,22.639344262295083,122,0.059880134071391145
bn_edyrs,Beneficiary years of education,0.06557377049180246,0.4516814147015002,0.8848146585615625,1,8.098360655737705,122,1.767721407098799e-4
hh_members,Household members,-0.2459016393442628,0.3670390204911476,0.5041701540644765,1,4.655737704918033,122,0.003760969494358557
bn_employed,Employed,0,0.08539017738623511,1,1,0.3114754098360656,122,1.1102230246251565e-16
bn_productive_hrs,Productive hours,2.4754098360655767,4.0893272075299585,0.5461000345729728,1,11.754098360655737,122,0.00303570969716338
bn_monthly_income,Monthly income,-0.40897740089364376,0.9050839798165252,0.6521806295034328,1,4.1493621350237655,122,0.0017604227602665556
bn_tot_prod_assetval,Productive assets,0.6478410447002281,0.8537714140479038,0.44946054829197923,1,2.5866147004045716,122,0.004824044609250344
hh_month_consumption_pc,HH consumption per capita,0.13962685613562797,0.19746698189854475,0.48088164149503065,1,9.438409962108564,122,0.004158349097477032
bn_consumption,Beneficiary-specific consumption,0.07628731309923786,0.3621771374380227,0.8335290691039369,1,7.611382728681205,122,3.6886871806063315e-4
hh_net_wealth,HH net non-land wealth,0.9451325579887033,1.0158189041408945,0.3540245281794424,1,10.480912917539438,122,0.007255424548820777
sav_stock,Savings,0.4176398771686891,0.8300241931966769,0.6157699480099788,1,7.671605527351635,122,0.0021790069469417306
debt_stock,Debt,-0.20509553621577936,0.8632943472345942,0.8126173402297078,1,7.604195642066989,122,4.7031144889286836e-4
hh_livestock_wealth,HH livestock wealth,2.21774284263517,1.0869873518858049,0.04351853462134324,0.374,5.25942863513479,122,0.03505978039703683
bn_busiknowledge,Business Knowledge,0.3409369866378973,0.17552157489329678,0.05442887199186348,0.374,-0.01769784288328202,122,0.03076440144305237
