term,estimate,std.error,statistic,p.value,outcome,outcome_label,complementarity_mid_est,complementarity_mid_p,combined_minus_large_est,combined_minus_large_p,alt_complementarity_est,alt_complementarity_p
treat_HD,0.1829338659696936,0.0663121211707882,2.758679148545765,0.005868131086887144,bn_swb,Subjective well-being,-0.3073047910465543,0.017309886368179005,-0.1424801233170806,0.17503293438263207,0.06709735782076973,0.6286151205825512
treat_GD_lower,0.39251134710754393,0.09375881643432693,4.186394005757072,2.9848843953653418e-5,bn_swb,Subjective well-being,-0.3073047910465543,0.017309886368179005,-0.1424801233170806,0.17503293438263207,0.06709735782076973,0.6286151205825512
treat_GD_middle,0.5264648724598563,0.09780649930748544,5.382718696482006,8.400417141099674e-8,bn_swb,Subjective well-being,-0.3073047910465543,0.017309886368179005,-0.1424801233170806,0.17503293438263207,0.06709735782076973,0.6286151205825512
treat_GD_upper,0.47270371839269093,0.09378842590773313,5.0401071754602835,5.168459703295226e-7,bn_swb,Subjective well-being,-0.3073047910465543,0.017309886368179005,-0.1424801233170806,0.17503293438263207,0.06709735782076973,0.6286151205825512
treat_GD_huge,0.5445740707000762,0.09089850183953953,5.991012609442089,2.5589154504936274e-9,bn_swb,Subjective well-being,-0.3073047910465543,0.017309886368179005,-0.1424801233170806,0.17503293438263207,0.06709735782076973,0.6286151205825512
treat_combined,0.40209394738299564,0.08651982173702635,4.647419970479651,3.630391524855604e-6,bn_swb,Subjective well-being,-0.3073047910465543,0.017309886368179005,-0.1424801233170806,0.17503293438263207,0.06709735782076973,0.6286151205825512
treat_HD,-0.04681580746027137,0.07222069394403509,-0.6482325896307456,0.5169254380492654,bn_mental_health,Mental health,0.10682696539476332,0.4281355229452779,0.018247879790759272,0.8741832297682891,-0.005839925320205268,0.9692325300432022
treat_GD_lower,-0.07090361257123591,0.09395432605585596,-0.7546604349977842,0.45056130091187696,bn_mental_health,Mental health,0.10682696539476332,0.4281355229452779,0.018247879790759272,0.8741832297682891,-0.005839925320205268,0.9692325300432022
treat_GD_middle,0.059895537576341716,0.0944337735952571,0.63425970705199,0.5259999678185334,bn_mental_health,Mental health,0.10682696539476332,0.4281355229452779,0.018247879790759272,0.8741832297682891,-0.005839925320205268,0.9692325300432022
treat_GD_upper,0.007698217464007327,0.09299127166188306,0.08278430143420451,0.9340331729315685,bn_mental_health,Mental health,0.10682696539476332,0.4281355229452779,0.018247879790759272,0.8741832297682891,-0.005839925320205268,0.9692325300432022
treat_GD_huge,0.10165881572007439,0.09709001518909792,1.0470573675581163,0.29522769141462696,bn_mental_health,Mental health,0.10682696539476332,0.4281355229452779,0.018247879790759272,0.8741832297682891,-0.005839925320205268,0.9692325300432022
treat_combined,0.11990669551083366,0.09060803637768176,1.3233560763973098,0.18590178591967024,bn_mental_health,Mental health,0.10682696539476332,0.4281355229452779,0.018247879790759272,0.8741832297682891,-0.005839925320205268,0.9692325300432022
treat_HD,0.14679745210323122,0.11502182766566282,1.2762573424753039,0.20204560042969513,bn_consumption,Beneficiary-specific consumption,-0.05941606907361227,0.7404930630114759,0.23605254241729667,0.11940640540294091,0.578913130019607,0.002626673174273969
treat_GD_lower,0.4896580397055415,0.11603571146804519,4.219890872478404,2.5782353519997433e-5,bn_consumption,Beneficiary-specific consumption,-0.05941606907361227,0.7404930630114759,0.23605254241729667,0.11940640540294091,0.578913130019607,0.002626673174273969
treat_GD_middle,0.6022733828691117,0.13451134234613205,4.4774914320556585,8.07476454579596e-6,bn_consumption,Beneficiary-specific consumption,-0.05941606907361227,0.7404930630114759,0.23605254241729667,0.11940640540294091,0.578913130019607,0.002626673174273969
treat_GD_upper,0.6213373253008172,0.1185514356928203,5.241078032245598,1.803844321251624e-7,bn_consumption,Beneficiary-specific consumption,-0.05941606907361227,0.7404930630114759,0.23605254241729667,0.11940640540294091,0.578913130019607,0.002626673174273969
treat_GD_huge,0.453602223481434,0.14825304946967505,3.0596485205804664,0.002251945794791398,bn_consumption,Beneficiary-specific consumption,-0.05941606907361227,0.7404930630114759,0.23605254241729667,0.11940640540294091,0.578913130019607,0.002626673174273969
treat_combined,0.6896547658987306,0.11659436782980663,5.91499211098621,4.032588035517325e-9,bn_consumption,Beneficiary-specific consumption,-0.05941606907361227,0.7404930630114759,0.23605254241729667,0.11940640540294091,0.578913130019607,0.002626673174273969
treat_HD,-0.32330018892351176,0.3960552826377983,-0.8163006607821899,0.41444696329773956,hh_net_wealth,HH net non-land wealth,0.0038357229860389586,0.9953672923322235,-0.2018630329430804,0.6820021501143778,0.06430529397598639,0.9339269700507714
treat_GD_lower,-0.05713186200444498,0.5960366488824717,-0.09585293473406938,0.9236491072514921,hh_net_wealth,HH net non-land wealth,0.0038357229860389586,0.9953672923322235,-0.2018630329430804,0.6820021501143778,0.06430529397598639,0.9339269700507714
treat_GD_middle,1.1024234554928218,0.42388806989459465,2.600741879258253,0.009386007042715108,hh_net_wealth,HH net non-land wealth,0.0038357229860389586,0.9953672923322235,-0.2018630329430804,0.6820021501143778,0.06430529397598639,0.9339269700507714
treat_GD_upper,1.1412496227019748,0.40832811527572566,2.7949327514010154,0.005251611054165041,hh_net_wealth,HH net non-land wealth,0.0038357229860389586,0.9953672923322235,-0.2018630329430804,0.6820021501143778,0.06430529397598639,0.9339269700507714
treat_GD_huge,0.9848220224984294,0.40846372722321833,2.411039112807785,0.01601668921531227,hh_net_wealth,HH net non-land wealth,0.0038357229860389586,0.9953672923322235,-0.2018630329430804,0.6820021501143778,0.06430529397598639,0.9339269700507714
treat_combined,0.782958989555349,0.45820696669059624,1.7087452755471553,0.08768769956703436,hh_net_wealth,HH net non-land wealth,0.0038357229860389586,0.9953672923322235,-0.2018630329430804,0.6820021501143778,0.06430529397598639,0.9339269700507714
treat_HD,-0.060543619518297356,0.3696931529584071,-0.16376721893226112,0.8699346147027482,hh_livestock_wealth,HH livestock wealth,0.44809145485315094,0.5145535966483388,0.10260799853738867,0.8482298514062467,1.9049588130229609,0.008638907371585852
treat_GD_lower,1.7418071949672749,0.49071459879710455,3.5495320482353505,3.968195767851423e-4,hh_livestock_wealth,HH livestock wealth,0.44809145485315094,0.5145535966483388,0.10260799853738867,0.8482298514062467,1.9049588130229609,0.008638907371585852
treat_GD_middle,1.8432013538293275,0.5183645763467898,3.5558011444752196,3.875465877133741e-4,hh_livestock_wealth,HH livestock wealth,0.44809145485315094,0.5145535966483388,0.10260799853738867,0.8482298514062467,1.9049588130229609,0.008638907371585852
treat_GD_upper,2.6185803463370716,0.4514686085194319,5.800138253077155,7.937207271643967e-9,hh_livestock_wealth,HH livestock wealth,0.44809145485315094,0.5145535966483388,0.10260799853738867,0.8482298514062467,1.9049588130229609,0.008638907371585852
treat_GD_huge,2.1281411906267924,0.47605924854094217,4.470328424769102,8.34660483972341e-6,hh_livestock_wealth,HH livestock wealth,0.44809145485315094,0.5145535966483388,0.10260799853738867,0.8482298514062467,1.9049588130229609,0.008638907371585852
treat_combined,2.230749189164181,0.45109216901495436,4.945218166911314,8.38675528582141e-7,hh_livestock_wealth,HH livestock wealth,0.44809145485315094,0.5145535966483388,0.10260799853738867,0.8482298514062467,1.9049588130229609,0.008638907371585852
treat_HD,1.0232464434388089,0.23323078102157682,4.3872701491495905,1.221091302717918e-5,sav_stock,Savings,-0.7035382682841536,0.09688767309724783,0.23145513021197872,0.46659507097354735,0.25514155618321177,0.5689782475211747
treat_GD_lower,1.046932869410042,0.31802074168908323,3.292027003803382,0.0010158627735941577,sav_stock,Savings,-0.7035382682841536,0.09688767309724783,0.23145513021197872,0.46659507097354735,0.25514155618321177,0.5689782475211747
treat_GD_middle,1.3214653952178799,0.3279734712872037,4.029183793529091,5.853642497973444e-5,sav_stock,Savings,-0.7035382682841536,0.09688767309724783,0.23145513021197872,0.46659507097354735,0.25514155618321177,0.5689782475211747
treat_GD_upper,1.5524433523426995,0.3010845707729733,5.156170402080444,2.826929976276449e-7,sav_stock,Savings,-0.7035382682841536,0.09688767309724783,0.23145513021197872,0.46659507097354735,0.25514155618321177,0.5689782475211747
treat_GD_huge,1.4097184401605565,0.3044225278789524,4.630795394751807,3.930339436969005e-6,sav_stock,Savings,-0.7035382682841536,0.09688767309724783,0.23145513021197872,0.46659507097354735,0.25514155618321177,0.5689782475211747
treat_combined,1.6411735703725352,0.2685248557495361,6.111812501645373,1.2287635920192178e-9,sav_stock,Savings,-0.7035382682841536,0.09688767309724783,0.23145513021197872,0.46659507097354735,0.25514155618321177,0.5689782475211747
treat_HD,0.4392791125938843,0.2819580291191194,1.5579592252302954,0.11943620904792239,debt_stock,Debt,-0.2770453825775593,0.6307820978578447,0.257001405182799,0.6030647439854444,-0.200561587217607,0.7574854695584052
