"outcome","group","control_mean","estimate","se","p","stars","n","panel","gender_diff_p","rw_p","across_survey_p"
"sd_rosen1","All",0.00000000000000030435273457734,0.231708688059905,0.0702549628998824,0.00103275806034663,"***",634,"First Follow-up",0.00290414468937108,0.00995024875621891,
"sd_rosen1","Men",-0.137431628430284,-0.0649308630306941,0.116058867155526,0.576690156257017,"",178,"First Follow-up",0.00290414468937108,0.955223880597015,
"sd_rosen1","Women",-0.0311639897498213,0.357268996691203,0.0851048729251451,0.0000328770828682272,"***",456,"First Follow-up",0.00290414468937108,0.00497512437810945,
"employed","All",0.784090909090909,0.0540290996396649,0.0281914056950596,0.055783060948533,"*",642,"First Follow-up",0.282725146918872,0.0945273631840796,
"employed","Men",0.761363636363636,0.0135961482794474,0.0337525367387751,0.687655229460932,"",180,"First Follow-up",0.282725146918872,0.965174129353234,
"employed","Women",0.768041237113402,0.066986965291369,0.0370203846957704,0.0710823645031605,"*",462,"First Follow-up",0.282725146918872,0.0895522388059701,
"ltotal_1a","All",10.4963729453857,0.737531498227545,0.346383351318939,0.0337358519768501,"**",539,"First Follow-up",0.135366582739112,0.0895522388059701,
"ltotal_1a","Men",9.53622729743471,0.0683266970955974,0.424393067296616,0.872329942423124,"",168,"First Follow-up",0.135366582739112,0.990049751243781,
"ltotal_1a","Women",10.134408660386,1.0027729776071,0.464312486449503,0.0315033632381221,"**",371,"First Follow-up",0.135366582739112,0.0696517412935323,
"sd_rosen2","All",0.208640631668891,0.170729290882005,0.0760487234038515,0.0252162000626996,"**",539,"Second Follow-up",0.201571054388721,0.104477611940299,
"sd_rosen2","Men",0.225388849604684,0.030389160486423,0.13346943467843,0.820287539533342,"",148,"Second Follow-up",0.201571054388721,0.995024875621891,
"sd_rosen2","Women",0.167469845007863,0.232993805149385,0.0931099945692088,0.012787510823042,"**",391,"Second Follow-up",0.201571054388721,0.109452736318408,
"sf12_ph_sd","All",0.000000000000000222513458907982,0.117865837075144,0.0833204144281162,0.157811775870098,"",547,"Second Follow-up",0.867219422253783,0.323383084577114,
"sf12_ph_sd","Men",-0.0148079273195956,0.0676422162268651,0.153005419806486,0.659226244568725,"",150,"Second Follow-up",0.867219422253783,0.975124378109453,
"sf12_ph_sd","Women",-0.0915559508902026,0.128687391422079,0.10297712326273,0.212232048935747,"",397,"Second Follow-up",0.867219422253783,0.472636815920398,
"sf12_mh_sd","All",0.000000000000000284176777575429,0.24042979469069,0.0786709906110558,0.00236312324776344,"***",547,"Second Follow-up",0.598262875692313,0.0199004975124378,
"sf12_mh_sd","Men",0.0485963122620968,0.288807861631645,0.140168089076787,0.041536364087323,"**",150,"Second Follow-up",0.598262875692313,0.223880597014925,
"sf12_mh_sd","Women",-0.0151279988801855,0.240037868067194,0.0954539611179701,0.0123485944462407,"**",397,"Second Follow-up",0.598262875692313,0.109452736318408,
"Employed_All","All",0.812709030100334,0.0108513491131412,0.0306533397868792,0.72348798715295,"",547,"Second Follow-up",0.879839742442676,0.82089552238806,
"Employed_All","Men",0.830769230769231,0.00326678553088423,0.0332541147081531,0.921909357124365,"",150,"Second Follow-up",0.879839742442676,0.995024875621891,
"Employed_All","Women",0.829787234042553,0.0111441608644453,0.0406431993279901,0.784092058091907,"",397,"Second Follow-up",0.879839742442676,0.900497512437811,
"ltotal_2a","All",10.6240726587765,0.172632390693695,0.388293858332853,0.656850283158284,"",460,"Second Follow-up",0.81951085617871,0.82089552238806,
"ltotal_2a","Men",9.51214711356232,0.336454920861748,0.455143647836978,0.461274786974118,"",145,"Second Follow-up",0.81951085617871,0.895522388059702,
"ltotal_2a","Women",10.5226242707328,0.17631586328465,0.538542399431725,0.743615863596238,"",315,"Second Follow-up",0.81951085617871,0.900497512437811,
