"panel","variable","label","treatment_mean","control_mean","p_difference","n","joint_f_p"
"First Follow-up","edad","Age",48.4137931034483,47.8522727272727,0.794198458542465,642,
"First Follow-up","lb_genero","Gender",0.731034482758621,0.710227272727273,0.422549908535966,642,
"First Follow-up","casado_o_convive","Married or cohabitates",0.582758620689655,0.571022727272727,0.662453231174424,642,
"First Follow-up","lb_jefe_hogar","Head of household",0.768965517241379,0.721590909090909,0.120392417557747,642,
"First Follow-up","lb_residentes_totales","Number of residents at home",4.30689655172414,4.29829545454545,0.904508076194109,642,
"First Follow-up","lb_residentes_menores","Residents under 5 years at home",0.313588850174216,0.355300859598854,0.475333946399512,636,
"First Follow-up","lb_residentes_ninos","Residents between 5 and 18 years at home",1.14878892733564,1.17765042979943,0.645886457377506,638,
"First Follow-up","lb_residentes_adulto","Adults in HH",2.66551724137931,2.68181818181818,0.924655175926349,642,
"First Follow-up","lb_residentes_adulto_mayor","Residents over 65 years at home",0.177304964539007,0.133720930232558,0.227427155562019,626,
"First Follow-up","ed_8menos","Education 8 or less years",0.251724137931034,0.232954545454545,0.717878833686494,642,
"First Follow-up","ed_9_11","Education between 9 and 11 years",0.203448275862069,0.1875,0.707819244032505,642,
"First Follow-up","ed_12","Education 12 years",0.403448275862069,0.366477272727273,0.254591718851503,642,
"First Follow-up","ed_mas_12","Education more than 12 years",0.141379310344828,0.213068181818182,0.0212904695923439,642,
"First Follow-up","lb_years_education","Years of education",10.5793103448276,10.8892045454545,0.177128851238978,642,
"First Follow-up","lb_employ","Employed",0.713793103448276,0.701704545454545,0.485659632728083,642,
"First Follow-up","lb_ingreso_th","Labor income (thousand pesos)",166.301729166667,166.489005681818,0.767720085891171,640,
"First Follow-up","lb_cont_formal","Has a formal contract",0.46551724137931,0.465909090909091,0.704550258694966,642,
"First Follow-up","fonasa_1","FONASA A",0.306338028169014,0.330459770114943,0.49093312717231,632,
"First Follow-up","fonasa_2","FONASA B",0.323943661971831,0.270114942528736,0.208254325457665,632,
"First Follow-up","fonasa_3","FONASA C",0.253521126760563,0.28448275862069,0.485093082969792,632,
"First Follow-up","fonasa_4","FONASA D",0.116197183098592,0.114942528735632,0.863592085148128,632,
"First Follow-up","lb_ohip14","OHIP score",35.6137931034483,36.2585227272727,0.241352650066431,642,
"First Follow-up","lb_rosenberg_score","Rosenberg score",17.4413793103448,17.3806818181818,0.245027610907017,642,
"First Follow-up","lb_dientes_falt_tot","Total missing teeth",10.9827586206897,10.46875,0.430453278479094,642,
"First Follow-up","lb_dientes_falt_front","Front missing teeth",1.46896551724138,1.44034090909091,0.910916620444196,642,
"First Follow-up","lb_prosthesis_up","Upper prosthetic need",0.934256055363322,0.943181818181818,0.688782815035348,641,
"First Follow-up","lb_prosthesis_down","Lower prosthetic need",0.934256055363322,0.917613636363636,0.598939546723213,641,
