"outcome","group","control_mean","estimate","se","p","stars","n","panel","gender_diff_p","rw_p"
"efforts","All",3.33779264214047,0.561106663567578,0.177695092199966,0.00168769275212154,"***",547,"Additional Outcomes",0.899882570578754,0.0199004975124378
"efforts","Men",2.98461538461538,0.630573253211185,0.432695036338507,0.147708041866515,"",150,"Additional Outcomes",0.899882570578754,0.557213930348259
"efforts","Women",3.17021276595745,0.572626939606372,0.205237961957377,0.00555184343157301,"***",397,"Additional Outcomes",0.899882570578754,0.054726368159204
"new_index_interactions","All",5.01063829787234,0.477909265066685,0.14802914454745,0.00138835538881598,"***",341,"Additional Outcomes",0.0180180302430015,0.0199004975124378
"new_index_interactions","Men",4.84210526315789,-0.106642723689241,0.267370452488548,0.690986819241738,"",117,"Additional Outcomes",0.0180180302430015,0.995024875621891
"new_index_interactions","Women",5.03703703703704,0.658119930140253,0.190924057918791,0.000698533739481428,"***",224,"Additional Outcomes",0.0180180302430015,0.0149253731343284
"sd_index_photos","All",0.000000000000000100128985151005,0.123173455932005,0.0867866205605481,0.156476832009042,"",527,"Additional Outcomes",0.150650850475195,0.109452736318408
"sd_index_photos","Men",0.195454070567067,-0.0368703759163854,0.144835998722776,0.799512681872689,"",145,"Additional Outcomes",0.150650850475195,0.990049751243781
"sd_index_photos","Women",0.00913583581261198,0.212982935806039,0.103389527113387,0.0401477078143646,"**",382,"Additional Outcomes",0.150650850475195,0.0895522388059701
