"panel","variable","label","mean","men","women","p_gender","n"
"Baseline","edad","Age",47.8660826032541,48.1008403361345,47.7664884135472,0.590027142401112,799
"Baseline","lb_genero","Gender",0.702127659574468,0,1,,799
"Baseline","casado_o_convive","Married or cohabitates",0.575719649561952,0.714285714285714,0.516934046345811,0.000000063219290564609,799
"Baseline","lb_jefe_hogar","Head of household",0.755944931163955,0.92436974789916,0.684491978609626,0.000000000000000000317357804407645,799
"Baseline","lb_residentes_totales","Number of residents at home",4.26533166458073,4.26470588235294,4.26559714795009,0.994726800724506,799
"Baseline","lb_residentes_menores","Residents under 5 years at home",0.338811630847029,0.322033898305085,0.345945945945946,0.605660453796081,791
"Baseline","lb_residentes_ninos","Residents between 5 and 18 years at home",1.14105793450882,1.02941176470588,1.18884892086331,0.0478110800932052,794
"Baseline","lb_residentes_adulto","Adults in HH",2.66207759699625,2.72689075630252,2.63458110516934,0.304017959415654,799
"Baseline","lb_residentes_adulto_mayor","Residents over 65 years at home",0.146153846153846,0.156779661016949,0.141544117647059,0.659881971597695,780
"Baseline","ed_8menos","Education 8 or less years",0.251564455569462,0.189075630252101,0.27807486631016,0.00510725952591112,799
"Baseline","ed_9_11","Education between 9 and 11 years",0.192740926157697,0.210084033613445,0.185383244206774,0.427692013997795,799
"Baseline","ed_12","Education 12 years",0.379224030037547,0.436974789915966,0.354723707664884,0.030800572082614,799
"Baseline","ed_mas_12","Education more than 12 years",0.176470588235294,0.163865546218487,0.181818181818182,0.536532162614011,799
"Baseline","lb_years_education","Years of education",10.7058823529412,10.9915966386555,10.5846702317291,0.0370141551937634,799
"Baseline","lb_employ","Employed",0.713391739674593,0.878151260504202,0.64349376114082,0.00000000000000442384955348034,799
"Baseline","lb_ingreso_th","Labor income (thousand pesos)",167.679457286432,242.626839662447,135.90391234347,0.000000000000000550199414528347,796
"Baseline","lb_cont_formal","Has a formal contract",0.474342928660826,0.668067226890756,0.392156862745098,0.000000000000194282461286336,799
"Baseline","fonasa_1","FONASA A",0.318007662835249,0.258620689655172,0.343012704174229,0.0167221828989208,783
"Baseline","fonasa_2","FONASA B",0.292464878671775,0.271551724137931,0.301270417422868,0.398542820543488,783
"Baseline","fonasa_3","FONASA C",0.268199233716475,0.280172413793103,0.263157894736842,0.626918573105271,783
"Baseline","fonasa_4","FONASA D",0.121328224776501,0.189655172413793,0.0925589836660617,0.000715646637069951,783
"Baseline","lb_ohip14","OHIP score",36.0387984981227,33.0966386554622,37.2869875222816,0.0000029914411017357,799
"Baseline","lb_rosenberg_score","Rosenberg score",17.3967459324155,18.6848739495798,16.8502673796791,0.0000000132247082004056,799
"Baseline","lb_dientes_falt_tot","Total missing teeth",10.6495619524405,10.6386554621849,10.6541889483066,0.972666057248174,799
"Baseline","lb_dientes_falt_front","Front missing teeth",1.45431789737171,1.57563025210084,1.40285204991087,0.295858582599657,799
"Baseline","lb_prosthesis_up","Upper prosthetic need",0.942355889724311,0.957983193277311,0.935714285714286,0.181460114832077,798
"Baseline","lb_prosthesis_down","Lower prosthetic need",0.922305764411028,0.911764705882353,0.926785714285714,0.484072613170467,798
