"panel","variable","label","mean","men","women","p_gender","n"
"First Follow-up","edad","Age",48.1059190031153,48.6666666666667,47.8874458874459,0.255798739913234,642
"First Follow-up","lb_genero","Gender",0.719626168224299,0,1,,642
"First Follow-up","casado_o_convive","Married or cohabitates",0.576323987538941,0.722222222222222,0.519480519480519,0.000000834978660420025,642
"First Follow-up","lb_jefe_hogar","Head of household",0.742990654205608,0.938888888888889,0.666666666666667,0.0000000000000000000161231132453653,642
"First Follow-up","lb_residentes_totales","Number of residents at home",4.30218068535826,4.39444444444444,4.26623376623377,0.383012343657819,642
"First Follow-up","lb_residentes_menores","Residents under 5 years at home",0.336477987421384,0.324022346368715,0.341356673960613,0.735038755314051,636
"First Follow-up","lb_residentes_ninos","Residents between 5 and 18 years at home",1.16457680250784,1.08333333333333,1.19650655021834,0.216882367598146,638
"First Follow-up","lb_residentes_adulto","Adults in HH",2.67445482866044,2.8,2.62554112554113,0.0851988027078599,642
"First Follow-up","lb_residentes_adulto_mayor","Residents over 65 years at home",0.153354632587859,0.173184357541899,0.145413870246085,0.501218943905875,626
"First Follow-up","ed_8menos","Education 8 or less years",0.241433021806854,0.155555555555556,0.274891774891775,0.000503920817760807,642
"First Follow-up","ed_9_11","Education between 9 and 11 years",0.194704049844237,0.233333333333333,0.17965367965368,0.139577597508495,642
"First Follow-up","ed_12","Education 12 years",0.383177570093458,0.444444444444444,0.359307359307359,0.0497649082372473,642
"First Follow-up","ed_mas_12","Education more than 12 years",0.180685358255452,0.166666666666667,0.186147186147186,0.557697786802026,642
"First Follow-up","lb_years_education","Years of education",10.7492211838006,11.1055555555556,10.6103896103896,0.0218716657342497,642
"First Follow-up","lb_employ","Employed",0.707165109034268,0.883333333333333,0.638528138528139,0.000000000000273630899679304,642
"First Follow-up","lb_ingreso_th","Labor income (thousand pesos)",166.40473125,243.7022,136.157895652174,0.00000000000758065174162048,640
"First Follow-up","lb_cont_formal","Has a formal contract",0.465732087227414,0.672222222222222,0.385281385281385,0.0000000000147959167304998,642
"First Follow-up","fonasa_1","FONASA A",0.319620253164557,0.23728813559322,0.351648351648352,0.00356631353009706,632
"First Follow-up","fonasa_2","FONASA B",0.294303797468354,0.271186440677966,0.303296703296703,0.420388614958008,632
"First Follow-up","fonasa_3","FONASA C",0.270569620253165,0.288135593220339,0.263736263736264,0.540906481289502,632
"First Follow-up","fonasa_4","FONASA D",0.115506329113924,0.203389830508475,0.0813186813186813,0.00022612549607661,632
"First Follow-up","lb_ohip14","OHIP score",35.9672897196262,32.3666666666667,37.3701298701299,0.0000011915836279962,642
"First Follow-up","lb_rosenberg_score","Rosenberg score",17.4080996884735,18.9111111111111,16.8225108225108,0.00000000702287174419097,642
"First Follow-up","lb_dientes_falt_tot","Total missing teeth",10.7009345794393,11.0055555555556,10.5822510822511,0.413527282912072,642
"First Follow-up","lb_dientes_falt_front","Front missing teeth",1.45327102803738,1.65555555555556,1.37445887445887,0.146499070300444,642
"First Follow-up","lb_prosthesis_up","Upper prosthetic need",0.939157566302652,0.955555555555556,0.932754880694143,0.238313604931429,641
"First Follow-up","lb_prosthesis_down","Lower prosthetic need",0.925117004680187,0.905555555555556,0.932754880694143,0.2724119028433,641
