"Intervention Type","country","vaccine","author1","publicationyear","effectsize"
"Incentives","Nigeria","Tetanus toxoid","Sato et al.",2020,30.7
"Incentives","Singapore","Influenza","Yue et al.",2020,3
"Incentives","Singapore","Influenza","Yue et al.",2020,4.7
"Incentives","Sweden","COVID-19","Campos-Mercade et al.",2021,4.2
"Incentives","USA","COVID-19","Chang et al.",2021,1
"Incentives","Ghana","Polio; BCG","Levine et al.",2021,49.5
"Incentives","USA","COVID-19","Jacobson et al.",2022,0
"Incentives","USA","COVID-19","Lang et al.",2022,0.7
"Incentives","USA","COVID-19","Milkman et al.",2022,0.06
