"Intervention Type","country","vaccine","author1","publicationyear","effectsize"
"Education","Nigeria","Pentavalent 3","Oyo-Ita et al.",2021,5
"Education","Nigeria","Pentavalent 2","Oyo-Ita et al.",2021,9
"Education","Nigeria","Pentavalent 1","Oyo-Ita et al.",2021,17
"Education","USA","HPV","Santa Maria et al.",2021,9.7
"Education","China","Influenza","Jiang et al.",2022,6.9
"Education","USA","Influenza","Marshall et al.",2022,2.06
"Education","China","HPV","Si et al.",2022,0
"Healthcare Improvement and Worker Training","Netherlands","Influenza","Hak et al.",2000,7
"Healthcare Improvement and Worker Training","UK","Pneumococcal (CHD patients)","Siriwardena et al.",2002,8.3
"Healthcare Improvement and Worker Training","UK","Pneumococcal (splenectomy patients)","Siriwardena et al.",2002,0
"Healthcare Improvement and Worker Training","UK","Pneumococcal (diabetes patients)","Siriwardena et al.",2002,8.7
"Healthcare Improvement and Worker Training","USA","Childhood immunizations","Hambidge et al.",2004,6
"Healthcare Improvement and Worker Training","India","Full immunisation (children)","Banerjee et al.",2010,12
"Healthcare Improvement and Worker Training","USA","Childhood immunizations (12-23 months)","Boom et al.",2010,0
"Healthcare Improvement and Worker Training","USA","Influenza","Nowalk et al.",2010,0
