"Row","Want mobile deposit","Want mobile deposit x family pressure","deposit_any main","deposit_any family pressure","deposit_max main","deposit_max family pressure","deposit_share main","deposit_share family pressure"
"Mobile Account — Estimate",0.0384661887935089,-0.00202366392085135,,,,,,
"Mobile Account — Robust SE",0.0221069280142034,0.0307847979984651,,,,,,
"Mobile Account — Robust p-value",0.0819971565165672,0.947594108068426,,,,,,
"Mobile Disburse — Estimate",0.139261463105702,0.0995700746823876,-0.0321728927975382,-0.0281966184775062,-1.21397734471565,-1.46751022232973,-0.00565777704386447,-0.00217804497343773
"Mobile Disburse — Robust SE",0.0209997124336211,0.0296642616735614,0.0251897521979058,0.0356411187929413,1.01521817232712,1.4472255424642,0.00722040537701014,0.00719135753532003
"Mobile Disburse — Robust p-value",0.0000000000416170148280537,0.000802545772929121,0.20198220672494,0.429161231366486,0.232220578178682,0.310955217031525,0.433572381103145,0.762086744155019
"MA*family pressure — Estimate",,0.0952267073750497,,,,,,
"MA*family pressure — Robust SE",,0.047208992805252,,,,,,
"MA*family pressure — Robust p-value",,0.0438027399583971,,,,,,
"MD*family pressure — Estimate",,0.0962744806054872,,-0.0133110169525169,,0.540737322389597,,-0.00735149978174409
"MD*family pressure — Robust SE",,0.0437756013556916,,0.051281106116906,,1.89934286237499,,0.0122277227692907
"MD*family pressure — Robust p-value",,0.027961926123381,,0.79527860423353,,0.775967627746813,,0.547907508531954
"Observations",2639,2639,964,964,964,964,964,964
"R-squared",0.212238613374946,0.218248915921711,0.351990211638926,0.352565489528678,0.777034025541169,0.777084642256487,0.848950224588954,0.849117192442154
"Control mean",0.671590909090909,0.67828418230563,0.121951219512195,0.107142857142857,2.81159160946443,2.78446309268475,0.0138540045263357,0.0179682055843711
"p-value MA=MD",0.00000106327996843374,0.000446964179124902,,,,,,
