term,estimate,std.error,statistic,p.value,q.value,outcome
treat_HD_any,2.3664407721501317,3.706397493309723,0.638474631072815,0.5236130371024035,1,bn_productive_hrs
treat_GD_main_any,4.794953236432718,3.7239801638526937,1.2875882860428651,0.19880262909240642,1,bn_productive_hrs
treat_GD_huge,8.74182099944855,6.460962413494176,1.353021491224069,0.1769863133957947,1,bn_productive_hrs
sat_HD,0.45248007612818064,4.424763448053146,0.10226085110318554,0.9186124996952546,1,bn_productive_hrs
sat_GD_main,1.5141000216800524,4.6915775946301626,0.32272726841671456,0.7471086843063963,1,bn_productive_hrs
sat_GD_huge,-0.6113124699456041,6.639201763032129,-0.0920762000862009,0.9266940521899754,1,bn_productive_hrs
sat_HD_treat_HD_any,1.2857312267019818,5.720987132620495,0.2247394019418207,0.8223228093782755,1,bn_productive_hrs
sat_GD_main_treat_HD_any,-3.166387714014482,5.858880600035895,-0.5404424377576637,0.5892609782482232,1,bn_productive_hrs
sat_GD_huge_treat_HD_any,-8.097121660802328,9.64787268475495,-0.8392649784441046,0.4019356403054848,1,bn_productive_hrs
sat_HD_treat_GD_main_any,-6.685474555209932,5.644064193059236,-1.1845142660551888,0.23707240734044227,1,bn_productive_hrs
sat_GD_main_treat_GD_main_any,3.6187830088347464,6.34181727745306,0.570622402146548,0.5686487274418854,1,bn_productive_hrs
sat_GD_huge_treat_GD_main_any,-12.788631390753284,8.58435790341512,-1.489759809020262,0.13725422203776894,1,bn_productive_hrs
sat_HD_treat_GD_huge,-3.9864723828448003,10.185559683308105,-0.39138471589123897,0.6957685769889593,1,bn_productive_hrs
sat_GD_main_treat_GD_huge,-10.908048422011783,7.931479043579945,-1.375285537801577,0.16998725992794622,1,bn_productive_hrs
sat_GD_huge_treat_GD_huge,-33.917063883773324,18.086726133740225,-1.8752461685424704,0.06165258334773771,1,bn_productive_hrs
