term,estimate,std.error,statistic,p.value,outcome,outcome_label,control_mean,n,r2,saturation_joint_p,q.value
treat_HD_any,0.004297216957145443,0.025578821894760535,0.16799901789165936,0.8666882252880741,bn_employed,Employed,0.475103734439834,1770,0.1684056676477923,0.6476506886668983,1
treat_GD_main_any,0.01247525192422414,0.02869146234683513,0.4348071134687301,0.6639901234068267,bn_employed,Employed,0.475103734439834,1770,0.1684056676477923,0.6476506886668983,1
treat_GD_huge,0.006436739306669636,0.04314140908364646,0.1492009520178051,0.8814873242733199,bn_employed,Employed,0.475103734439834,1770,0.1684056676477923,0.6476506886668983,1
sat_HD,0.011639203118242514,0.0577703130723983,0.20147377604923405,0.8404537862584227,bn_employed,Employed,0.475103734439834,1770,0.1684056676477923,0.6476506886668983,1
sat_GD_main,-4.2890124727137935e-4,0.05883675155664672,-0.007289682654530013,0.9941881850428322,bn_employed,Employed,0.475103734439834,1770,0.1684056676477923,0.6476506886668983,1
sat_GD_huge,-0.11419843034490584,0.09744037520270157,-1.1719826622931522,0.2420597960482228,bn_employed,Employed,0.475103734439834,1770,0.1684056676477923,0.6476506886668983,0.819
treat_HD_any,1.0001591007767738,1.258642804915427,0.7946329942624019,0.4274051233291549,bn_productive_hrs,Productive hours,18.635062239476753,1770,0.1957488103525643,0.19222694653303224,1
treat_GD_main_any,2.5457741782916075,1.2872048000221545,1.977753795082019,0.04879833488305178,bn_productive_hrs,Productive hours,18.635062239476753,1770,0.1957488103525643,0.19222694653303224,0.15000000000000002
treat_GD_huge,0.27008042441111296,1.9476592060345477,0.13866924129966207,0.8897971439768186,bn_productive_hrs,Productive hours,18.635062239476753,1770,0.1957488103525643,0.19222694653303224,1
sat_HD,-1.4486165374465276,2.782779146516229,-0.5205646805496784,0.6030234241233876,bn_productive_hrs,Productive hours,18.635062239476753,1770,0.1957488103525643,0.19222694653303224,1
sat_GD_main,0.34240612232152756,2.7324578577848446,0.12531066905423754,0.9003548453822358,bn_productive_hrs,Productive hours,18.635062239476753,1770,0.1957488103525643,0.19222694653303224,1
sat_GD_huge,-10.234236296221194,4.799464856937502,-2.132370295706587,0.03372341474540695,bn_productive_hrs,Productive hours,18.635062239476753,1770,0.1957488103525643,0.19222694653303224,0.131
treat_HD_any,0.23414451957074536,0.20629993575642203,1.1349713644467605,0.25722110893979955,bn_monthly_income,Monthly income,8.052206556687258,1770,0.2136068949664155,0.8818044858006506,0.819
treat_GD_main_any,0.8865145586274674,0.1922355422752643,4.611605887937502,5.747247095049261e-6,bn_monthly_income,Monthly income,8.052206556687258,1770,0.2136068949664155,0.8818044858006506,0.0010000000000000009
treat_GD_huge,0.6829390492048623,0.34096825548052984,2.002940268566614,0.046011283030166134,bn_monthly_income,Monthly income,8.052206556687258,1770,0.2136068949664155,0.8818044858006506,0.15000000000000002
sat_HD,-0.009352346406215073,0.45315709960587103,-0.020638199013872198,0.9835468943582033,bn_monthly_income,Monthly income,8.052206556687258,1770,0.2136068949664155,0.8818044858006506,1
sat_GD_main,-0.32681997505005667,0.4263308034055743,-0.7665877587061153,0.4438814114480816,bn_monthly_income,Monthly income,8.052206556687258,1770,0.2136068949664155,0.8818044858006506,1
sat_GD_huge,0.08775593327991871,0.7102300599828384,0.1235598691528759,0.9017399127631445,bn_monthly_income,Monthly income,8.052206556687258,1770,0.2136068949664155,0.8818044858006506,1
treat_HD_any,1.1478615061978816,0.29419385460467823,3.9017181638287983,1.1604247203974427e-4,bn_tot_prod_assetval,Productive assets,5.606797100139101,1770,0.2584791808625936,0.6468116760995082,0.0010000000000000009
treat_GD_main_any,3.499532457472901,0.25839426290582657,13.543382961054085,1.841291053183574e-33,bn_tot_prod_assetval,Productive assets,5.606797100139101,1770,0.2584791808625936,0.6468116760995082,0.0010000000000000009
treat_GD_huge,3.823574084711253,0.45784039554930084,8.351325313101443,1.9578727862976848e-15,bn_tot_prod_assetval,Productive assets,5.606797100139101,1770,0.2584791808625936,0.6468116760995082,0.0010000000000000009
sat_HD,0.04905841065216121,0.6710519615282613,0.07310672416549537,0.9417660247550266,bn_tot_prod_assetval,Productive assets,5.606797100139101,1770,0.2584791808625936,0.6468116760995082,1
sat_GD_main,0.7396946290609252,0.5970126316285139,1.2389932639167238,0.21623929697418784,bn_tot_prod_assetval,Productive assets,5.606797100139101,1770,0.2584791808625936,0.6468116760995082,0.819
sat_GD_huge,0.006428336189987949,1.0520007697984937,0.006110581260524429,0.9951282294364465,bn_tot_prod_assetval,Productive assets,5.606797100139101,1770,0.2584791808625936,0.6468116760995082,1
treat_HD_any,0.049308404831051894,0.04779694014443336,1.0316226244201234,0.3030183818185912,hh_month_consumption_pc,HH consumption per capita,9.463587482422488,1737,0.32964259280582964,0.9554109664716632,0.959
treat_GD_main_any,0.23311287105202327,0.042439128244016175,5.492876048529382,8.00753817025255e-8,hh_month_consumption_pc,HH consumption per capita,9.463587482422488,1737,0.32964259280582964,0.9554109664716632,0.0010000000000000009
