term,estimate,std.error,statistic,p.value,outcome,outcome_label,control_mean,n,r2,q.value
HD_complem,0.19025103458055134,0.06720511098551474,2.8309012780524636,0.004719034963497294,bn_swb,Subjective well-being,1.0488006089238211e-8,1289,0.1632449314478277,0.01200000000000001
GD_mid_complem,0.5297283433498893,0.0982439411753266,5.39196959133117,8.383544468958788e-8,bn_swb,Subjective well-being,1.0488006089238211e-8,1289,0.1632449314478277,0.0010000000000000009
treat_combined,-0.31328163808431686,0.13007694671540318,-2.4084332081513975,0.01617091302904435,bn_swb,Subjective well-being,1.0488006089238211e-8,1289,0.1632449314478277,0.025000000000000022
HD_complem,-0.0384563437079027,0.07477138520053174,-0.5143189952247831,0.6071235281636187,bn_mental_health,Mental health,2.3959335944464594e-9,1289,0.10978017472953783,0.43599999999999994
GD_mid_complem,0.06291870719190928,0.09626977599492705,0.6535665689637088,0.5135160899886272,bn_mental_health,Mental health,2.3959335944464594e-9,1289,0.10978017472953783,0.43599999999999994
treat_combined,0.0844259723409114,0.13721484827351685,0.6152830645020364,0.5384842691764486,bn_mental_health,Mental health,2.3959335944464594e-9,1289,0.10978017472953783,0.43599999999999994
HD_complem,0.16339748639287505,0.11645954795097284,1.403040706131387,0.16086295074363974,bn_consumption,Beneficiary-specific consumption,8.270251263650216,1289,0.2630112473290801,0.19199999999999995
GD_mid_complem,0.6337211439996191,0.14046013356401255,4.511750971038415,7.059404121355179e-6,bn_consumption,Beneficiary-specific consumption,8.270251263650216,1289,0.2630112473290801,0.0010000000000000009
treat_combined,-0.060093694297388256,0.18464642692677186,-0.3254527872408848,0.7448950514830845,bn_consumption,Beneficiary-specific consumption,8.270251263650216,1289,0.2630112473290801,0.495
HD_complem,-0.3330244395235558,0.39899843353327574,-0.8346509949287362,0.4040800919998855,hh_net_wealth,HH net non-land wealth,11.283266153214273,1289,0.24143127985992074,0.53
GD_mid_complem,1.0998652989319855,0.44565833069129535,2.467956331537433,0.013727116677821071,hh_net_wealth,HH net non-land wealth,11.283266153214273,1289,0.24143127985992074,0.03200000000000003
treat_combined,0.026942841544054325,0.6902955115797285,0.03903088038685944,0.9688722497792485,hh_net_wealth,HH net non-land wealth,11.283266153214273,1289,0.24143127985992074,0.94
HD_complem,-0.08365330205251238,0.3747176324272249,-0.2232435701267913,0.8233838755903522,hh_livestock_wealth,HH livestock wealth,7.8050853682509205,1289,0.2691398053910504,0.8160000000000001
GD_mid_complem,1.94655849594616,0.5271273659346833,3.6927669131626133,2.3178192076740971e-4,hh_livestock_wealth,HH livestock wealth,7.8050853682509205,1289,0.2691398053910504,0.0010000000000000009
treat_combined,0.4195585701913025,0.6994950757674346,0.5998020353910192,0.5487512248542465,hh_livestock_wealth,HH livestock wealth,7.8050853682509205,1289,0.2691398053910504,0.577
HD_complem,1.0359049889986602,0.23846644275053516,4.344028354892443,1.5168749382913067e-5,sav_stock,Savings,9.238061676149876,1289,0.23689722504815292,0.0010000000000000009
GD_mid_complem,1.307008842709874,0.3219427905993131,4.059754965398697,5.230073526634846e-5,sav_stock,Savings,9.238061676149876,1289,0.23689722504815292,0.0010000000000000009
treat_combined,-0.7173162336786525,0.42004226946767503,-1.7077239264222541,0.08794580041592019,sav_stock,Savings,9.238061676149876,1289,0.23689722504815292,0.133
HD_complem,0.5006469403727656,0.28166774181145277,1.7774379740932371,0.07574900916006332,debt_stock,Debt,8.753167564808846,1289,0.23870455174091165,0.133
GD_mid_complem,-0.2954130929783284,0.42471327478990395,-0.6955588876388725,0.4868395705616121,debt_stock,Debt,8.753167564808846,1289,0.23870455174091165,0.5760000000000001
treat_combined,-0.27656127247610224,0.5768383863336418,-0.47944325313353875,0.631710546108452,debt_stock,Debt,8.753167564808846,1289,0.23870455174091165,0.611
HD_complem,0.04919924671094813,0.06176601802286802,0.7965423105749311,0.4258741875042913,bn_loc,Locus of control,3.949426021813357e-9,1289,0.2979201060301304,0.6
GD_mid_complem,0.01254291343620277,0.08123739508878355,0.15439827215649568,0.8773216354740113,bn_loc,Locus of control,3.949426021813357e-9,1289,0.2979201060301304,0.782
treat_combined,0.15850847296774367,0.11305780937737511,1.4020125972780793,0.16116966693184503,bn_loc,Locus of control,3.949426021813357e-9,1289,0.2979201060301304,0.46299999999999997
HD_complem,0.003978060885911309,0.0742427356943153,0.05358181980645826,0.9572772450715303,bn_alt_aspiration,Aspirations,1.1624142342088628e-8,1289,0.1301626284059989,0.808
GD_mid_complem,-0.04615964844171248,0.09558599331303892,-0.48291226404419046,0.629245972985767,bn_alt_aspiration,Aspirations,1.1624142342088628e-8,1289,0.1301626284059989,0.6
treat_combined,0.1806040827259045,0.127489423366706,1.4166201239017406,0.15685312708861915,bn_alt_aspiration,Aspirations,1.1624142342088628e-8,1289,0.1301626284059989,0.46299999999999997
HD_complem,0.11596938343859924,0.06712438056530136,1.7276790111422995,0.08430264703082249,bn_big_five,Big Five index,1.3776618168067141e-9,1289,0.129884931505576,0.41900000000000004
GD_mid_complem,0.09545892205625263,0.0923866636864215,1.033254349137003,0.3016927254302197,bn_big_five,Big Five index,1.3776618168067141e-9,1289,0.129884931505576,0.585
treat_combined,-0.16680936897003734,0.12875347689295,-1.2955717623744507,0.195371806227331,bn_big_five,Big Five index,1.3776618168067141e-9,1289,0.129884931505576,0.46299999999999997
HD_complem,0.6686184364694204,0.07591508042930481,8.807452125300255,4.3853386904004686e-18,bn_business_knowledge,Business knowledge,6.801359881009303e-10,1289,0.2518251029599281,0.0010000000000000009
