outcome,outcome_label,term,estimate,std.error,p_hd_vs_lower_per_dollar,p_lower_vs_large_per_dollar,p_combined_vs_large_per_dollar
bn_employed,Employed,treat_HD,0.006955782739688944,0.009988717031231172,0.91249516083172,0.5671588423304089,0.8242356137246528
bn_employed,Employed,treat_GD_lower,0.008275356609968726,0.01161667040585011,0.91249516083172,0.5671588423304089,0.8242356137246528
bn_employed,Employed,treat_GD_middle,0.010219251189935375,0.009396698129352132,0.91249516083172,0.5671588423304089,0.8242356137246528
bn_employed,Employed,treat_GD_upper,3.2038328924142886e-4,0.00796977870726814,0.91249516083172,0.5671588423304089,0.8242356137246528
bn_employed,Employed,treat_GD_huge,0.0017877101709280856,0.0053947036593825675,0.91249516083172,0.5671588423304089,0.8242356137246528
bn_employed,Employed,treat_combined,3.8989070543355526e-4,0.005125479913110376,0.91249516083172,0.5671588423304089,0.8242356137246528
bn_productive_hrs,Productive hours,treat_HD,0.9012952062661452,0.4749279548774722,0.6451217207341207,0.39787681627317883,0.7292000126115423
bn_productive_hrs,Productive hours,treat_GD_lower,0.6232034285105326,0.5681525305944051,0.6451217207341207,0.39787681627317883,0.7292000126115423
bn_productive_hrs,Productive hours,treat_GD_middle,1.2940517872346162,0.4894185130517236,0.6451217207341207,0.39787681627317883,0.7292000126115423
bn_productive_hrs,Productive hours,treat_GD_upper,0.6578202414224997,0.42932613539865766,0.6451217207341207,0.39787681627317883,0.7292000126115423
bn_productive_hrs,Productive hours,treat_GD_huge,0.1507251575021681,0.2466382542832152,0.6451217207341207,0.39787681627317883,0.7292000126115423
bn_productive_hrs,Productive hours,treat_combined,0.25253225051583633,0.2428883247812257,0.6451217207341207,0.39787681627317883,0.7292000126115423
bn_monthly_income,Monthly income,treat_HD,0.09010698691150912,0.07762754349696152,0.35940913055857704,0.29160289225614316,0.34789086424760696
bn_monthly_income,Monthly income,treat_GD_lower,0.17941943952245987,0.0926560385079471,0.35940913055857704,0.29160289225614316,0.34789086424760696
bn_monthly_income,Monthly income,treat_GD_middle,0.2108525229074262,0.0698725520451623,0.35940913055857704,0.29160289225614316,0.34789086424760696
bn_monthly_income,Monthly income,treat_GD_upper,0.1883209444460013,0.058785016950048494,0.35940913055857704,0.29160289225614316,0.34789086424760696
bn_monthly_income,Monthly income,treat_GD_huge,0.0829565034606061,0.040558202909485225,0.35940913055857704,0.29160289225614316,0.34789086424760696
bn_monthly_income,Monthly income,treat_combined,0.12597262237910467,0.03821653938677103,0.35940913055857704,0.29160289225614316,0.34789086424760696
bn_tot_prod_assetval,Productive assets,treat_HD,0.4592858382924962,0.10738892970151766,1.3669338497082442e-5,5.249256441870805e-6,0.44805260778300227
bn_tot_prod_assetval,Productive assets,treat_GD_lower,1.007548559678286,0.11837071514578339,1.3669338497082442e-5,5.249256441870805e-6,0.44805260778300227
bn_tot_prod_assetval,Productive assets,treat_GD_middle,0.7704855358910233,0.10273597300971583,1.3669338497082442e-5,5.249256441870805e-6,0.44805260778300227
bn_tot_prod_assetval,Productive assets,treat_GD_upper,0.6545630302200014,0.07779172068938486,1.3669338497082442e-5,5.249256441870805e-6,0.44805260778300227
bn_tot_prod_assetval,Productive assets,treat_GD_huge,0.4767194590932321,0.05559015150998134,1.3669338497082442e-5,5.249256441870805e-6,0.44805260778300227
bn_tot_prod_assetval,Productive assets,treat_combined,0.5252303035074403,0.05259048614358533,1.3669338497082442e-5,5.249256441870805e-6,0.44805260778300227
hh_month_consumption_pc,HH consumption per capita,treat_HD,0.015998667980461255,0.017685051592840065,0.10493271666945775,0.6731585950667924,0.32670960838598295
hh_month_consumption_pc,HH consumption per capita,treat_GD_lower,0.051086005993270074,0.0201151513745531,0.10493271666945775,0.6731585950667924,0.32670960838598295
hh_month_consumption_pc,HH consumption per capita,treat_GD_middle,0.05516066616197508,0.01792654406502428,0.10493271666945775,0.6731585950667924,0.32670960838598295
hh_month_consumption_pc,HH consumption per capita,treat_GD_upper,0.039738089839100085,0.012744799718791533,0.10493271666945775,0.6731585950667924,0.32670960838598295
hh_month_consumption_pc,HH consumption per capita,treat_GD_huge,0.042746369880462105,0.008849951697189913,0.10493271666945775,0.6731585950667924,0.32670960838598295
hh_month_consumption_pc,HH consumption per capita,treat_combined,0.03310573987617515,0.007924545974416792,0.10493271666945775,0.6731585950667924,0.32670960838598295
