term,estimate,std.error,statistic,p.value,q.value,outcome
treat_HD_any,0.24820108647249284,0.5562380610103095,0.44621377764347664,0.655739062612009,1,bn_monthly_income
treat_GD_main_any,0.9025008004809105,0.5858243428922802,1.5405655490947392,0.12439262967471501,1,bn_monthly_income
treat_GD_huge,1.7709254737362556,0.8713085437957737,2.0324895082761216,0.042914315293059405,1,bn_monthly_income
sat_HD,0.5545153263780747,0.816098354609112,0.6794711976152333,0.49732150535704744,1,bn_monthly_income
sat_GD_main,-0.6394109179722829,0.8023820879400159,-0.7968908174581331,0.426094423539238,1,bn_monthly_income
sat_GD_huge,0.33285043901717826,1.1266533650959005,0.29543287166132604,0.7678513005437156,1,bn_monthly_income
sat_HD_treat_HD_any,-0.9436235810000725,0.8858556645988905,-1.065211431963173,0.28756856289443666,1,bn_monthly_income
sat_GD_main_treat_HD_any,0.8360848493586359,0.8327760940046945,1.0039731632281015,0.31613616062991656,1,bn_monthly_income
sat_GD_huge_treat_HD_any,0.28486533425488814,1.6014653854194623,0.17787792158884225,0.8589293271940152,1,bn_monthly_income
sat_HD_treat_GD_main_any,-0.24059012825933412,0.9120992735746348,-0.2637762524647458,0.7921189923449738,1,bn_monthly_income
sat_GD_main_treat_GD_main_any,0.4486407667320045,0.9278844296999242,0.4835093168629782,0.6290587373756178,1,bn_monthly_income
sat_GD_huge_treat_GD_main_any,-0.954151125499314,1.4063807018459626,-0.6784444100000313,0.4979712611388444,1,bn_monthly_income
sat_HD_treat_GD_huge,-1.6754076240599318,1.3956052980460483,-1.2004881512026557,0.2308214041681965,1,bn_monthly_income
sat_GD_main_treat_GD_huge,-1.6657966048262147,1.4173524842949121,-1.1752874625643286,0.24073739231248464,1,bn_monthly_income
sat_GD_huge_treat_GD_huge,1.839931810347252,3.354165869072783,0.5485512291781437,0.5836889276371865,1,bn_monthly_income
