term,estimate,std.error,statistic,p.value,q.value,outcome
treat_HD_any,2.3477414195598096,0.7540082328954969,3.113681412395399,0.002011468574923016,0.009000000000000008,bn_tot_prod_assetval
treat_GD_main_any,4.428073276545119,0.7390559098940844,5.991526780673081,5.4992860970796524e-9,0.0010000000000000009,bn_tot_prod_assetval
treat_GD_huge,5.658725824492401,1.1211968260877272,5.047040530999182,7.473255483707757e-7,0.0010000000000000009,bn_tot_prod_assetval
sat_HD,1.1703995026388787,0.9982900935495601,1.1724042041500777,0.24189083251270463,0.30899999999999994,bn_tot_prod_assetval
sat_GD_main,1.7370985468068487,1.1115498698929014,1.5627715803468354,0.11907652170760571,0.239,bn_tot_prod_assetval
sat_GD_huge,2.0654218667431867,1.7299348775700067,1.1939304152561105,0.23337323295918277,0.30899999999999994,bn_tot_prod_assetval
sat_HD_treat_HD_any,-0.6499823131822926,1.3226484705209762,-0.4914248401363001,0.6234566880980398,0.493,bn_tot_prod_assetval
sat_GD_main_treat_HD_any,-1.9681956288846885,1.1728548943259303,-1.6781237290362854,0.09428127611752898,0.23299999999999998,bn_tot_prod_assetval
sat_GD_huge_treat_HD_any,-2.8996889337069036,2.128523641431833,-1.3623005529580667,0.17404351745270064,0.30899999999999994,bn_tot_prod_assetval
sat_HD_treat_GD_main_any,-2.28408745803618,1.3353913550612242,-1.7104255238581056,0.08813859650423161,0.23299999999999998,bn_tot_prod_assetval
sat_GD_main_treat_GD_main_any,0.14109332375938533,1.1174490771239969,0.12626376149732058,0.8996009765770401,0.493,bn_tot_prod_assetval
sat_GD_huge_treat_GD_main_any,-1.7573012481681143,1.8701192199027936,-0.9396733798925699,0.3480808359224339,0.34299999999999997,bn_tot_prod_assetval
sat_HD_treat_GD_huge,-0.8103100229884501,1.9212180297802308,-0.42176890411607365,0.6734716889608123,0.493,bn_tot_prod_assetval
sat_GD_main_treat_GD_huge,-2.290936405387388,1.9049882750105345,-1.2025986907319517,0.2300043774870847,0.30899999999999994,bn_tot_prod_assetval
sat_GD_huge_treat_GD_huge,-8.016711623343026,4.0994405584392,-1.95556235273119,0.051370683820803204,0.18299999999999994,bn_tot_prod_assetval
