term,estimate,std.error,statistic,p.value,q.value,outcome
treat_HD_any,-0.017843391450383928,0.07006510415611107,-0.2546687351042442,0.7991395381346985,1,bn_employed
treat_GD_main_any,-0.01577855812228829,0.07129873207430926,-0.22130208579085944,0.8249957755396781,1,bn_employed
treat_GD_huge,0.0566022574313913,0.13477112857747198,0.41998800506336936,0.6747708816943083,1,bn_employed
sat_HD,-0.005342055037494853,0.0951665162214129,-0.0561337668919824,0.9552696317932704,1,bn_employed
sat_GD_main,-0.07305139859617427,0.09533230200775351,-0.7662817015604311,0.44406320408363487,1,bn_employed
sat_GD_huge,0.04663552155413864,0.15799397963346118,0.2951727759648242,0.7680497950896052,1,bn_employed
sat_HD_treat_HD_any,-0.0024394095707154784,0.11122494631711605,-0.0219322162112843,0.9825154439564119,1,bn_employed
sat_GD_main_treat_HD_any,0.0828510962336291,0.10764486127688923,0.7696707046750293,0.4420525776342892,1,bn_employed
sat_GD_huge_treat_HD_any,-0.08620734088863358,0.1918222883326184,-0.4494125351020247,0.6534327293862005,1,bn_employed
sat_HD_treat_GD_main_any,0.01864144130221565,0.11477200509831893,0.16242150066339384,0.871074567825548,1,bn_employed
sat_GD_main_treat_GD_main_any,0.13143714178419072,0.11984513723996257,1.096724863529655,0.2735711515365044,1,bn_employed
sat_GD_huge_treat_GD_main_any,-0.28595520354608267,0.19506022517560026,-1.4659841763673525,0.14361646749824636,1,bn_employed
sat_HD_treat_GD_huge,0.011900421623634666,0.21922202172665628,0.05428479096170855,0.9567415182317107,1,bn_employed
sat_GD_main_treat_GD_huge,-0.08099765354130964,0.17164251929899732,-0.47189737060555254,0.6373157401035532,1,bn_employed
sat_GD_huge_treat_GD_huge,-0.2461883154736937,0.4168109155001369,-0.590647476634073,0.5551658875018602,1,bn_employed
