term,estimate,std.error,statistic,p.value,outcome,outcome_label,control_mean,n,r2,interaction_joint_p,q.value
treat_HD,0.01305297924582319,0.03349936810187403,0.38964852131324157,0.6968471532037566,bn_employed,Employed,0.475103734439834,1770,0.019985546834884405,0.04807569794428893,0.641
treat_GD_main,0.016554412431874995,0.033469220910965276,0.4946160078214248,0.6209375716195131,bn_employed,Employed,0.475103734439834,1770,0.019985546834884405,0.04807569794428893,0.629
treat_GD_huge,0.02952937130954111,0.04546432218803953,0.6495064676738876,0.5161021882753287,bn_employed,Employed,0.475103734439834,1770,0.019985546834884405,0.04807569794428893,0.629
treat_combined,0.0177333767673114,0.04414941576658122,0.40166730316586957,0.6879813213555229,bn_employed,Employed,0.475103734439834,1770,0.019985546834884405,0.04807569794428893,0.641
treat_HD_consump,-0.03961180557562054,0.03351670329515322,-1.1818526788506885,0.2374358115912592,bn_employed,Employed,0.475103734439834,1770,0.019985546834884405,0.04807569794428893,0.31199999999999994
treat_GD_main_consump,0.013542533404999231,0.03296983380769686,0.4107552826619862,0.6813057445415971,bn_employed,Employed,0.475103734439834,1770,0.019985546834884405,0.04807569794428893,0.641
treat_GD_huge_consump,0.09399967636340484,0.04444405936503017,2.1150110432389178,0.03457975017133059,bn_employed,Employed,0.475103734439834,1770,0.019985546834884405,0.04807569794428893,0.08599999999999997
treat_combined_consump,-0.021759471456325653,0.04354225693831688,-0.499732282760416,0.6173307588138213,bn_employed,Employed,0.475103734439834,1770,0.019985546834884405,0.04807569794428893,0.629
consump,0.015359579346521022,0.023617508399345757,0.6503471529175578,0.5155592644359881,bn_employed,Employed,0.475103734439834,1770,0.019985546834884405,0.04807569794428893,0.629
treat_HD,2.599339541426531,1.6165250431491855,1.607979754129082,0.10803244733475231,bn_productive_hrs,Productive hours,18.635062239476753,1770,0.03295526034974072,0.42744140640789485,0.18299999999999994
treat_GD_main,4.309693069628443,1.7006269228051152,2.534179020593052,0.011363659804224694,bn_productive_hrs,Productive hours,18.635062239476753,1770,0.03295526034974072,0.42744140640789485,0.038000000000000034
treat_GD_huge,1.1717737238419859,2.0804393709586355,0.5632337765757864,0.5733528409823202,bn_productive_hrs,Productive hours,18.635062239476753,1770,0.03295526034974072,0.42744140640789485,0.629
treat_combined,2.9014331974729046,2.138472703758452,1.356778224184727,0.1750387508841673,bn_productive_hrs,Productive hours,18.635062239476753,1770,0.03295526034974072,0.42744140640789485,0.274
treat_HD_consump,-1.087200673621297,1.7165644078641822,-0.6333585087984175,0.5265880261489457,bn_productive_hrs,Productive hours,18.635062239476753,1770,0.03295526034974072,0.42744140640789485,0.629
treat_GD_main_consump,0.8278565505459565,1.6299591065815868,0.5079001965160765,0.6115917627643841,bn_productive_hrs,Productive hours,18.635062239476753,1770,0.03295526034974072,0.42744140640789485,0.629
treat_GD_huge_consump,2.5073860739148657,1.9536745267471924,1.2834205695917968,0.19952642047933752,bn_productive_hrs,Productive hours,18.635062239476753,1770,0.03295526034974072,0.42744140640789485,0.29200000000000004
treat_combined_consump,-1.438752105598582,2.1505270610738827,-0.6690230184223441,0.503575130403427,bn_productive_hrs,Productive hours,18.635062239476753,1770,0.03295526034974072,0.42744140640789485,0.629
consump,0.4316508500311437,1.0469347570437075,0.4122996654061062,0.6801737791767115,bn_productive_hrs,Productive hours,18.635062239476753,1770,0.03295526034974072,0.42744140640789485,0.641
treat_HD,0.13899376140792918,0.2701201686709058,0.5145626929371155,0.6069281023838078,bn_monthly_income,Monthly income,8.052206556687258,1770,0.03753105544688262,0.00638233323672998,0.629
treat_GD_main,0.7552212661756775,0.2608124066663267,2.8956493129633913,0.0038339511983001883,bn_monthly_income,Monthly income,8.052206556687258,1770,0.03753105544688262,0.00638233323672998,0.014000000000000012
treat_GD_huge,0.8392348477640444,0.36012899670328097,2.3303728815136493,0.019907422770443457,bn_monthly_income,Monthly income,8.052206556687258,1770,0.03753105544688262,0.00638233323672998,0.05999999999999994
treat_combined,1.0792722695907206,0.30443339561592664,3.5451835611107896,4.0337311778122206e-4,bn_monthly_income,Monthly income,8.052206556687258,1770,0.03753105544688262,0.00638233323672998,0.0030000000000000027
treat_HD_consump,0.03067149487677323,0.25235426856144444,0.12154141497830534,0.9032771304733798,bn_monthly_income,Monthly income,8.052206556687258,1770,0.03753105544688262,0.00638233323672998,0.8029999999999999
treat_GD_main_consump,0.28759903875398113,0.2663709713321446,1.0796936217023692,0.28043768441916067,bn_monthly_income,Monthly income,8.052206556687258,1770,0.03753105544688262,0.00638233323672998,0.369
treat_GD_huge_consump,0.6974214075644998,0.38845817247764536,1.7953577939067156,0.07278109716238322,bn_monthly_income,Monthly income,8.052206556687258,1770,0.03753105544688262,0.00638233323672998,0.139
treat_combined_consump,-0.6901433052914852,0.3017138049694866,-2.287410433080057,0.022298941757469774,bn_monthly_income,Monthly income,8.052206556687258,1770,0.03753105544688262,0.00638233323672998,0.061999999999999944
consump,0.10170964894505805,0.18166954453712383,0.5598607581925977,0.575651014815558,bn_monthly_income,Monthly income,8.052206556687258,1770,0.03753105544688262,0.00638233323672998,0.629
treat_HD,1.2688999468076112,0.371439077524133,3.416172458928123,6.506134315289361e-4,bn_tot_prod_assetval,Productive assets,5.606797100139101,1770,0.11513559472417989,0.21459082126019222,0.0040000000000000036
treat_GD_main,3.7203769137383054,0.35574934692852317,10.457860136243061,8.008509732437902e-25,bn_tot_prod_assetval,Productive assets,5.606797100139101,1770,0.11513559472417989,0.21459082126019222,0.0010000000000000009
treat_GD_huge,3.9338130222235512,0.4775577062427063,8.23735638813939,3.5612324398232276e-16,bn_tot_prod_assetval,Productive assets,5.606797100139101,1770,0.11513559472417989,0.21459082126019222,0.0010000000000000009
treat_combined,4.322382320638257,0.4242315899461819,10.188732812628581,1.1138108493596425e-23,bn_tot_prod_assetval,Productive assets,5.606797100139101,1770,0.11513559472417989,0.21459082126019222,0.0010000000000000009
treat_HD_consump,-0.19184135272998737,0.37540283101093713,-0.5110279861592152,0.609400372022769,bn_tot_prod_assetval,Productive assets,5.606797100139101,1770,0.11513559472417989,0.21459082126019222,0.629
treat_GD_main_consump,-0.06652851703849733,0.34247292488041636,-0.19425920183829876,0.8459970323134306,bn_tot_prod_assetval,Productive assets,5.606797100139101,1770,0.11513559472417989,0.21459082126019222,0.764
treat_GD_huge_consump,0.46397455904480256,0.4801752975548331,0.9662607831087343,0.3340564292382071,bn_tot_prod_assetval,Productive assets,5.606797100139101,1770,0.11513559472417989,0.21459082126019222,0.44599999999999995
treat_combined_consump,-0.6844884821208604,0.40738076828194186,-1.6802179567964697,0.09310571105665028,bn_tot_prod_assetval,Productive assets,5.606797100139101,1770,0.11513559472417989,0.21459082126019222,0.17299999999999993
consump,0.5114703077205609,0.2661707921383552,1.9215869014459683,0.05483120242415848,bn_tot_prod_assetval,Productive assets,5.606797100139101,1770,0.11513559472417989,0.21459082126019222,0.124
treat_HD,0.12530622671245434,0.06015880515410351,2.082924127091095,0.03741601396431763,hh_month_consumption_pc,HH consumption per capita,9.463587482422488,1737,0.18469509031072828,0.2365857889367476,0.08699999999999997
treat_GD_main,0.27745596774534564,0.0584609486570975,4.746005224320986,2.2590170456519797e-6,hh_month_consumption_pc,HH consumption per capita,9.463587482422488,1737,0.18469509031072828,0.2365857889367476,0.0010000000000000009
treat_GD_huge,0.3980223301043492,0.07581297303249528,5.250055685505793,1.7235327051631442e-7,hh_month_consumption_pc,HH consumption per capita,9.463587482422488,1737,0.18469509031072828,0.2365857889367476,0.0010000000000000009
