"variable","treatment1_mean","treatment2_mean","treatment1_sd","treatment2_sd","treatment1_median","treatment2_median"
"ever_deposit",0.150537634408602,0.144285714285714,0.357790028060514,0.351630461134455,0,0
"ever_withdrawal",0.11505376344086,0.961428571428571,0.319258504664599,0.192708915037704,0,1
"number_deposit",0.612903225806452,0.818571428571429,2.80869117864863,4.09751635780419,0,0
"number_withdrawal",1.04731182795699,4.39285714285714,5.99227330611762,7.87373209228684,0,2
"av_deposit",11.626745136295,15.1958077047573,21.2244666998143,33.7453595022506,6.89814805984497,6.29629611968994
"av_withdrawal",11.7398314838097,179.642502618226,35.6311028065051,161.751094814925,4.61018514633179,139.814819335938
"total_deposit",7.19958691225257,9.1820463276548,37.1545717244675,57.8878123897744,0,0
"total_withdrawal",7.68719060510717,361.997749154227,46.9797539052213,232.059030993326,0,320
"withdrew_perc",0,0.422350451930082,0,0.444339088514852,0,0.253378391265869
"withdrew_disburse",0.0010752688172043,0.567142857142857,0.0327912917891976,0.495825615593923,0,1
