"variable","earn_business_least","earn_business_most","earn_business_diff","earn_business_p","much_saved_least","much_saved_most","much_saved_diff","much_saved_p","capital_least","capital_most","capital_diff","capital_p"
"estimated_effect",3.47624872125961,49.4517456196122,45.9754968983526,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000039648252942037,-19.4272775664426,25.943120032171,45.3703975986136,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108186064939465,-25.5756149056095,176.152392409964,201.728007315574,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000204016912717116
"earn_business_base",80.7680250783699,246.495421245421,165.727396167051,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000804174994079385,166.465647857889,107.578056863771,-58.8875909941181,0.0000000000000000318138197084537,97.6454197143852,163.810395953253,66.1649762388679,0.000000000000000000000498274412804433
"capital_base",622.442734604719,879.13235794768,256.689623342961,0.000000000000077660091054117,926.264930647369,649.776964728087,-276.487965919281,0.000000000000244520664983891,375.206973446574,1206.37058071963,831.163607273055,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000053625498513497
"much_saved_base",137.734673458725,178.765610936682,41.0309374779572,0.00178039845419114,217.871951846047,168.165445229374,-49.7065066166729,0.00132525262967895,81.7376340996169,195.572561922205,113.834927822588,0.000000000000000000169380433534285
"respondent_age_base",37.4811912225705,35.690737833595,-1.79045338897556,0.000318100678749272,37.2758620689655,36.1726844583987,-1.10317761056677,0.0295834592425733,38.9341692789969,34.3642072213501,-4.56996205764678,0.0000000000000000000356897657990704
"married_base",0.545454545454545,0.777080062794348,0.231625517339803,0.000000000000000000796020458773917,0.736677115987461,0.466248037676609,-0.270429078310852,0.00000000000000000000000973903320744333,0.358934169278997,0.849293563579278,0.490359394300281,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000283214529767378
"education_level_base",7.06896551724138,7.25431711145997,0.18535159421859,0.167055227364231,7.23354231974922,7.09105180533752,-0.142490514411697,0.318275430321068,6.46081504702194,7.63265306122449,1.17183801420255,0.000000000000000000401141823438903
"work_occupation_base",0.197492163009404,0.183673469387755,-0.0138186936216493,0.530272627688214,0.221003134796238,0.182103610675039,-0.038899524121199,0.0835270464707612,0.22257053291536,0.207221350078493,-0.0153491828368676,0.505044067710973
"hh_size_base",4.17084639498433,4.5447409733124,0.373894578328076,0.0000355534080508599,4.62539184952978,3.85086342229199,-0.774528427237787,0.0000000000000000665358047284678,3.74764890282132,4.861852433281,1.11420353045969,0.000000000000000000000000000000131648430257112
"year_business_base",2009.73197492163,2009.63422291994,-0.0977520016929248,0.767291138092677,2009.32445141066,2010.40973312402,1.08528171336047,0.000617307161818465,2008.79310344828,2010.86342229199,2.07031884371781,0.0000000000566531459018744
"own_business_1_base",0.948275862068966,0.886970172684458,-0.0613056893845071,0.0000667940075251751,0.898119122257053,0.93563579277865,0.0375166705215967,0.0152357417869551,0.971786833855799,0.869701726844584,-0.102085107011215,0.0000000000122826918610966
"own_business_2_base",0.0282131661442006,0.0941915227629513,0.0659783566187507,0.000000841550398273876,0.0768025078369906,0.0408163265306122,-0.0359861813063784,0.00629295476435412,0.0125391849529781,0.103610675039246,0.0910714900862684,0.00000000000315319056756799
"sales_base",72.0193312434692,166.326312576313,94.3069813328434,0.0000000000000000000000000000000000000000236852017572743,141.53618077325,83.4009253444968,-58.135255428753,0.0000000000000000177925469356285,65.8824460118426,157.860195360195,91.9777493483528,0.0000000000000000000000000000000000000000224438287016927
"expenditure_base",36.7759709160571,96.0155241583813,59.2395532423242,0.000000000000000000000000000191395057441189,77.2594840647858,48.682103610675,-28.5773804541108,0.0000000266609982815002,29.368490943922,97.2064364207221,67.8379454768002,0.000000000000000000000000000000000000833620496685526
"non_hhemployee_base",0.255485893416928,0.599686028257457,0.344200134840529,0.0000000032887146465109,0.576802507836991,0.248037676609105,-0.328764831227885,0.00000000232209724444652,0.206896551724138,0.60596546310832,0.399068911384182,0.00000000000000107394432934603
"employee_hours_base",12.3620689535589,22.5447409564696,10.1826720029107,0.0000000678029151891945,25.0391849473726,10.9309262076577,-14.1082587397149,0.000000000000252832836043825,11.6144200656855,25.3265305942793,13.7121105285938,0.00000000000212531980317315
"current_loan_base",0.833855799373041,0.901098901098901,0.0672431017258603,0.000391260111730788,0.898119122257053,0.797488226059655,-0.100630896197399,0.000000519641699086941,0.783699059561129,0.868131868131868,0.0844328085707396,0.000067828808241059
"consumption_total_base",240.383724667062,268.913884269199,28.5301596021375,0.000159069784483745,299.933946836705,208.045209366635,-91.8887374700695,0.000000000000000000000000000000000239749389942595,209.578219733642,302.915652749677,93.3374330160351,0.0000000000000000000000000000000000147028622039714
"have_save_base",0.938871473354232,0.877551020408163,-0.0613204529460687,0.000146292851983991,0.923197492163009,0.855572998430141,-0.0676244937328681,0.000115524107281744,0.830721003134796,0.905808477237049,0.0750874741022525,0.0000713208411368191
"control_money_base",0.788401253918495,0.76138147566719,-0.0270197782513053,0.248430153299362,0.777429467084639,0.802197802197802,0.0247683351131628,0.278133355942925,0.835423197492163,0.712715855572998,-0.122707341919165,0.000000143713431239047
"spouse_fam_takes_base",0.258620689655172,0.514913657770801,0.256292968115628,0.00000000000000000000127481956857398,0.448275862068966,0.251177394034537,-0.197098468034429,0.0000000000000924726587882132,0.250783699059561,0.456828885400314,0.206045186340753,0.00000000000000752990700761999
"hh_bus_base",0.352664576802508,0.540031397174254,0.187366820371746,0.0000000000117523014313343,0.503134796238245,0.299843014128728,-0.203291782109516,0.0000000000000755189602416203,0.239811912225705,0.579277864992151,0.339465952766445,0.000000000000000000000000000000000000620658385080094
"hyperbolic_base",0.197492163009404,0.213500784929356,0.016008621919952,0.479747762961539,0.200626959247649,0.189952904238619,-0.0106740550090304,0.631030472696564,0.192789968652038,0.197802197802198,0.00501222915016017,0.821581843401657
"impatient_base",0.489028213166144,0.381475667189953,-0.107552545976191,0.000104159020755034,0.452978056426332,0.43956043956044,-0.0134176168658927,0.630200290688242,0.434169278996865,0.450549450549451,0.0163801715525854,0.556346914832625
"saving_goal_6_base",0.202194357366771,0.205651491365777,0.00345713399900591,0.878366627968614,0.238244514106583,0.205651491365777,-0.032593022740806,0.161666975557386,0.20846394984326,0.222919937205651,0.0144559873623913,0.530708430523502
"womans_income_share_base",0.540471281084089,0.611370691722566,0.070899410638477,0.0000300713771658931,0.560239036525176,0.62115530447897,0.0609162679537933,0.000510283229488679,0.71532393289222,0.482151043365945,-0.233172889526275,0.0000000000000000000000000000000000000000443953632684551
"spouse_allearning_base",112.503484284027,161.311752979431,48.8082686954048,0.000000582362680080973,154.87636731285,76.4826434627994,-78.3937238500506,0.0000000000000000197723736428065,40.9352140456531,198.569713455164,157.634499409511,0.0000000000000000000000000000000000000000000000000000000000000000418005007390299
"own_decision_base",8.0564263322884,6.01726844583987,-2.03915788644853,0.0000000000000832471010218195,6.26175548589342,8.68602825745683,2.42427277156341,0.00000000000000000111570065460634,9.60658307210031,5.21036106750392,-4.39622200459639,0.0000000000000000000000000000000000000000000000000000000000148369386551403
"above_m_median_base",0.31974921630094,0.492935635792779,0.173186419491838,0.000000000231956574007059,0.471786833855799,0.279434850863422,-0.192351982992377,0.000000000000835398993712949,0.205329153605016,0.562009419152276,0.356680265547261,0.00000000000000000000000000000000000000000942707455021138
"hetero_family_base",-0.193725380161923,0.51733091087892,0.711056291040843,0.00000000000000000000000000000000000344558182162519,0.369988345827172,-0.313055288339007,-0.683043634166179,0.000000000000000000000000000000000000901718012700357,-0.468382466733339,0.564828509344972,1.03321097607831,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000593514346439127
"hetero_selfc_base",0.0258766838282253,0.0797988036457373,0.053922119817512,0.33773003204018,-0.0213099777418244,-0.0252250829708632,-0.00391510522903881,0.943444394510263,0.0203179981921534,-0.0122467382830016,-0.032564736475155,0.549435220199613
"hetero_perf_base",-0.0255023387719098,0.553567054004553,0.579069392776463,0.00000000000000000000000000000109923762846126,0.666718315426552,-0.189958661853144,-0.856676977279696,0.00000000000000000000000000000000000000000000000000000261516145661253,-0.277503375127491,0.485212230326804,0.762715605454295,0.00000000000000000000000000000000000000000000108430536352604
