"id_key_new","cs4"
"50000210015",4
"50000210026",1
"50000210034",4
"50000210036",2
"50000210041",4
"50000210045",2
"50000210046",4
"50000210047",4
"50000210048",4
"50000210049",2
"50000210058",1
"5000021006",4
"50000210061",4
"50000210063",4
"50000210064",4
"5000021009",1
"5000021031",1
"50000210310",4
"5000021033",4
"50000210335",4
"50000210525",4
"50000210533",4
"50000210536",2
"50000210548",1
"50000210564",2
"50000210750",4
"50000210755",4
"50000210832",4
"50000210856",1
"50000210877",1
"50000210879",4
"5000021141",2
"50000211413",4
"50000211424",4
"50000211430",4
"50000211431",1
"50000211438",4
"50000211439",1
"50000211446",3
"50000211447",1
"50000211452",3
"50000211453",1
"5000021146",1
"50000211490",4
"50000211760",1
"50000211830",4
"50000212017",4
"50000212056",1
"50000212224",2
"50000212225",4
"50000212232",1
"50000212238",4
"50000212239",4
"50000212246",3
"50000212249",4
"50000212268",4
"50000212270",2
"50000212321",4
"5000021235",4
"5000021266",2
"50000212723",4
"50000212827",4
"50000212837",4
"50000213235",1
"50000213720",1
"50000213738",4
"50000213751",4
"50000213752",4
"50000213754",1
"50000213756",4
"5000021378",4
"50000213825",4
"50000213833",2
"50000213844",4
"50000213855",4
"50000213858",1
"50000213860",4
"50000213861",4
"50000213937",4
"50000213943",4
"50000213945",3
"50000213947",2
"50000213948",4
"50000213949",4
"50000213954",1
"50000213957",2
"50000213967",2
"50000214016",2
"50000214018",4
"50000214126",4
"50000214134",1
"50000214136",4
"50000214142",3
"5000021423",4
"50000214231",4
"50000214239",1
"50000214244",1
"50000214247",2
"50000214248",4
"50000214464",4
"50000214524",4
"50000214531",4
"50000214541",2
"50000214542",2
"50000214544",4
"50000214610",1
"50000214629",4
"50000214631",4
"50000214632",4
"50000214633",1
"50000214634",1
"5000021464",4
"500002147129",2
"50000214720",1
"50000214723",4
"50000214727",1
"50000214728",4
"50000214730",4
"5000021483",1
"50000214837",4
"50000214839",4
"5000021487",2
"50000214911",4
"50000214913",1
"5000021493",1
"50000214932",1
"500002149370018",4
"50000215114",4
"50000215119",4
"50000215120",4
"5000021518",4
"50000215215",1
"50000215217",1
"50000215218",4
"50000215222",4
"50000215223",2
"50000215226",4
"500002152340011",4
"50000215235",4
"50000215237",4
"50000215238",1
"50000215241",4
"50000215242",4
"500002152420017",4
"5000021526",4
"5000021528",1
"50000215315",4
"50000215317",2
"50000215326",3
"50000215331",1
"5000021541",4
"50000215410",1
"50000215419",4
"50000215429",1
"50000215431",2
"50000215432",3
"50000215434",1
"5000021544",4
"5000021549",2
"50000215515",4
"50000215517",4
"5000021552",4
"50000215520",1
"50000215526",4
"50000215532",4
"5000021555",4
"5000021557009",4
"50000215617",1
"50000215618",2
"50000215623",4
"50000215627",1
"5000021565",1
"5000021566",2
"5000021568",3
"50000215680017",3
"5000021571",4
"50000215715",1
"5000021572",1
"50000215720",1
"500002157210012",4
"5000021580",3
"5000021581",4
"50000215820",4
"5000021585",1
"5000021586",1
"5000021589",1
"500002159",1
"50000215912",1
"50000216017",1
"50000216038",4
"5000021609",1
"5000021611",4
"50000216112",2
"50000216113",4
"50000216129",2
"50000216130",2
"50000216132",1
"5000021614",1
"5000021618",4
"500002162",4
"50000216210",4
"50000216211",4
"50000216213",4
"50000216216",4
"5000021622",4
"5000021623",1
"5000021624",4
"5000021627",4
"5000021631",4
"50000216310",1
"50000216316",4
"50000216317",4
"50000216318",4
"50000216319",4
"5000021632",4
"50000216320",4
"5000021634",4
"5000021636",4
"5000021637",4
"5000021638",4
"50000216411",4
"50000216412",1
"50000216413",4
"5000021642",1
"5000021644",4
"5000021646",4
"5000021647",1
"5000021648",4
"5000021649",1
"50000216510",1
"50000216515",1
"5000021652",1
"5000021653",4
"50000216549",1
"5000021655",1
"5000021656",4
"50000216560019",4
"5000021657",1
"5000021658",4
"5000021659",4
"5000021661",4
"50000216612",4
"50000216613",1
"50000216614",4
"50000216615",1
"50000216617",3
"5000021662",1
"5000021663",4
"5000021664",4
"5000021667",1
"5000021668",1
"5000021669",1
"500002167",1
"5000021672",1
"5000021673",4
"5000021689",4
"5000021758",4
"5000021770",2
"5000021774",4
"5000021776",4
"5000021780",1
"5000021814",4
