"switch_m","n","percent"
1,56,2.11960635881908
2,340,12.8690386071158
3,236,8.93262679788039
4,118,4.4663133989402
5,62,2.34670704012112
6,52,1.96820590461771
7,43,1.62755488266465
8,833,31.5291445874338
,902,34.1408024224073
