"variable","cluster1_mean","cluster1_sd","cluster2_mean","cluster2_sd","cluster3_mean","cluster3_sd","cluster4_mean","cluster4_sd"
"respondent_age_base",39.8254545454545,9.55609813019744,37.0140845070423,8.28775361502923,33.448275862069,8.70259462785122,33.8623481781377,7.69361641502607
"married_base",0.0581818181818182,0.234228937275841,0.838028169014085,0.368858154346856,0.979310344827586,0.142836615930841,0.97246963562753,0.16368915379204
"education_level_base",6.54909090909091,2.32344055076499,8.00704225352113,2.65904842476952,7.57931034482759,2.46269095570171,6.8663967611336,2.06948882765022
"work_occupation_base",0.187878787878788,0.390852298535359,0.230046948356808,0.42135746752339,0.206896551724138,0.406484790684069,0.187044534412955,0.390105243405444
"earn_business_base",109.590909090909,96.0675633494715,212.953182055295,173.083913862399,146.427203065134,126.652395489175,95.5124381466487,72.8812565412993
"hh_size_base",3.29818181818182,1.40847265997332,5.07511737089202,1.78463787338856,4.42068965517241,1.4417821028796,4.68987854251012,1.43249605965425
"year_business_base",2008.67151515152,6.71200024861831,2009.1220657277,5.60076729662676,2010.33103448276,5.32297845354067,2010.98137651822,4.74935563828028
"own_business_1_base",0.976969696969697,0.150090685541899,0.967136150234742,0.178489782889576,0,0,0.982995951417004,0.129338533405424
"own_business_2_base",0,0,0,0,1,0,0,0
"sales_base",85.2687548821549,86.6698109834199,216.393974960876,167.403849421785,129.544061302682,134.442649637378,69.4021592442645,59.3177048319896
"expenditure_base",45.664898989899,64.8435779778769,136.186119587898,142.407913853794,62.9827586206897,96.2260417506241,36.1719973009447,42.3765265192514
"non_hhemployee_base",0.253333333333333,0.625173115183483,1.23004694835681,1.54421531496328,0.6,1.26600860098886,0.14412955465587,0.448611164282619
"employee_hours_base",13.3599999953761,30.8186064213803,48.0586854101906,45.2732756449002,26.1034482791506,39.4976659165316,7.77732793522267,23.1255078398568
"capital_base",528.951277567546,430.898660804234,1201.0746284561,798.137698861186,1007.54622781688,709.068726938706,513.111309250743,394.549381939954
"current_loan_base",0.808484848484848,0.393732151792439,0.922535211267606,0.267641823742241,0.779310344827586,0.416149103841823,0.797570850202429,0.401973164628597
"consumption_total_base",188.390577665387,99.7080235370948,348.282979848799,164.438494061456,262.511704517233,131.648112000388,240.812226021338,113.515692543691
"have_save_base",0.829090909090909,0.376657853456114,0.943661971830986,0.230844420865165,0.903448275862069,0.29637012170957,0.863157894736842,0.343819810015269
"much_saved_base",108.685184511785,187.297176162976,239.672012910798,317.828630348793,152.921454022989,259.625688974159,97.7769451192083,157.111172928391
"control_money_base",0.814545454545455,0.388901637527625,0.762910798122066,0.425797495669503,0.551724137931034,0.499041226346952,0.776518218623482,0.416747291503801
"spouse_fam_takes_base",0.316363636363636,0.465338757111694,0.436619718309859,0.496549819535625,0.531034482758621,0.500765697232652,0.306882591093117,0.461387079638629
"womans_income_share_base",0.833149875271501,0.270751085111376,0.557915747051997,0.282461544415209,0.528954517276123,0.261796603807954,0.403401529110274,0.241460508406881
"hh_bus_base",0.195151515151515,0.396557709626029,0.5,0.500587889679842,0.6,0.491596040125088,0.577327935222672,0.494184315730771
"hyperbolic_base",0.219393939393939,0.414087042596988,0.2018779342723,0.40187354655145,0.186206896551724,0.390622844821641,0.195951417004049,0.397092101434789
"impatient_base",0.424242424242424,0.494527271960367,0.44131455399061,0.497127901283706,0.379310344827586,0.486897284360101,0.464777327935223,0.498959869315503
"saving_goal_6_base",0.219393939393939,0.414087042596988,0.237089201877934,0.425797495669503,0.268965517241379,0.444958993332112,0.230769230769231,0.421495724834912
"spouse_allearning_base",0.932659930604877,11.6347723076143,167.520866630924,205.196497646573,145.517317902432,117.831565874708,164.772463339014,144.780486309182
"own_decision_base",12.4593939393939,2.67922828354576,5.62441314553991,4.2342875234521,3.48275862068966,3.04845919248985,4.25101214574899,3.10671701767175
"switch_8_base",0.3125,0.468417435218867,0.397759103641457,0.490122110681583,0.253521126760563,0.436566547749967,0.451290591174022,0.497829036570856
