"model","outcome","term","estimate","std.error","statistic","p.value","n","control_mean","fixed_effects","notes","specification"
"A9_lnsales2_endline","lnsales2","type",0.105514389954067,0.0589343756006831,1.79037088080804,0.0773250448008308,2530,,,,"endline cross-section"
"A9_lnsales2_endline","lnsales2","treatratio_comp",-0.0988520492987348,0.0793949611404127,-1.24506704051296,0.216882996357883,2530,,,,"endline cross-section"
"A9_lnsales2_panel","lnsales2","interpost",0.109560437030092,0.0449152566478948,2.43926997654654,0.0170183447845444,5703,,"Firm FE + Post",,"panel with baseline main-sales measure"
"A9_lnsales2_panel","lnsales2","inter4post",-0.090712785742784,0.0497882803348314,-1.82197065519699,0.0723425210767867,5703,,"Firm FE + Post",,"panel with baseline main-sales measure"
"A9_lnsalesdif","lnsalesdif","type",0.0127703448376106,0.0834920790395297,0.152952770903746,0.87883563203421,2530,,,,"alternative sales difference"
"A9_lnsalesdif","lnsalesdif","treatratio_comp",-0.0221776995999123,0.112145099131568,-0.197758972720631,0.843754790757173,2530,,,,"alternative sales difference"
"A9_zfinknowledge","zfinknowledge","type",0.0964796329755694,0.0646712330865054,1.49184774081107,0.139824900783069,2714,,,,"standardized using untreated mean absolute deviation"
"A9_zfinknowledge","zfinknowledge","treatratio_comp",-0.0353683726425434,0.0714881281311911,-0.494744701912426,0.622189081029907,2714,,,,"standardized using untreated mean absolute deviation"
"A9_zdifficultyloan","zdifficultyloan","type",-0.0747085057934301,0.075238672113909,-0.992953539641472,0.323842747709683,2714,,,,"standardized using untreated mean absolute deviation"
"A9_zdifficultyloan","zdifficultyloan","treatratio_comp",-0.0235526772327738,0.0818035137956956,-0.287917671746921,0.774183297027449,2714,,,,"standardized using untreated mean absolute deviation"
