"model","outcome","term","estimate","std.error","statistic","p.value","n","control_mean","fixed_effects","notes","rw_p.value"
"Table3_lnpart5revenue","lnpart5revenue","interpost",0.0992829253314683,0.0350415840571506,2.83328873402368,0.00587891832884035,8612,5.45352317910244,"Firm FE + Post",,0.00799200799200799
"Table3_lnpart5revenue","lnpart5revenue","inter4post",-0.0855461058717665,0.0409813224455102,-2.08744132123874,0.0401561603714127,8612,5.45352317910244,"Firm FE + Post",,0.04995004995005
"Table3_total_profit","total_profit","interpost",12.6365522854934,3.09853474605769,4.07823481778641,0.000109653382535878,8612,51.9453375166298,"Firm FE + Post",,0.000999000999000999
"Table3_total_profit","total_profit","inter4post",-9.4777438170448,4.80239339367262,-1.97354590515891,0.05202121417242,8612,51.9453375166298,"Firm FE + Post",,0.0639360639360639
"Table3_lnlabor","lnlabor","interpost",0.0744854532450293,0.0286931130452856,2.59593488958382,0.0112929713497542,8612,1.95637867894284,"Firm FE + Post",,0.00999000999000999
"Table3_lnlabor","lnlabor","inter4post",-0.0658808753534929,0.0378393614833181,-1.74106731115263,0.0856659505020832,8612,1.95637867894284,"Firm FE + Post",,0.105894105894106
"Table3_lnwage_cost","lnwage_cost","interpost",0.101159331665116,0.0292413197297367,3.45946532509759,0.000885401491593855,8602,2.67462355806885,"Firm FE + Post",,0.001998001998002
"Table3_lnwage_cost","lnwage_cost","inter4post",-0.0691638508379349,0.0372207503197614,-1.85820678636922,0.0669617571010509,8602,2.67462355806885,"Firm FE + Post",,0.0789210789210789
"Table3_total_fixedassets","total_fixedassets","interpost",5.46781361677489,4.53686934015767,1.20519530249131,0.231818773692832,8612,12.0049719326407,"Firm FE + Post",,0.333666333666334
"Table3_total_fixedassets","total_fixedassets","inter4post",-3.01261220421986,4.55801072822416,-0.660948905970126,0.510617839054167,8612,12.0049719326407,"Firm FE + Post",,0.612387612387612
"Table3_lnmaterial_cost","lnmaterial_cost","interpost",0.077326865481278,0.0409633696802588,1.88770762964219,0.0628329480527711,8605,4.92463802585696,"Firm FE + Post",,0.0789210789210789
"Table3_lnmaterial_cost","lnmaterial_cost","inter4post",-0.04994904183664,0.0471586348741268,-1.05917064753806,0.292833369321213,8605,4.92463802585696,"Firm FE + Post",,0.40959040959041
"Table3_shutdown","shutdown","interpost",-0.0274597314951782,0.00964097280223679,-2.84823244069388,0.00563520123592069,8847,0,"Firm FE + Post",,0.00799200799200799
"Table3_shutdown","shutdown","inter4post",0.00133243195837685,0.0178959182729932,0.0744545173961609,0.940841819684664,8847,0,"Firm FE + Post",,0.914085914085914
