"model","outcome","term","estimate","std.error","statistic","p.value","n","control_mean","fixed_effects","notes","specification"
"A5_market_saturation_lnpart5revenue","lnpart5revenue","postmarket50T",0.0984624618596649,0.0981916154079792,1.0027583460213,0.319118332387543,8612,,"Firm FE",,"50/80 market saturation"
"A5_market_saturation_lnpart5revenue","lnpart5revenue","postmarket80T",0.098377972075988,0.0435638056662968,2.25825018203353,0.0267614690183171,8612,,"Firm FE",,"50/80 market saturation"
"A5_market_saturation_lnpart5revenue","lnpart5revenue","postmarket50",-0.0639599384517552,0.0313048538087936,-2.04313167671746,0.0444609558190375,8612,,"Firm FE",,"50/80 market saturation"
"A5_market_saturation_lnpart5revenue","lnpart5revenue","postmarket80",-0.065982730756867,0.0429743483884303,-1.53539805095989,0.128785122300717,8612,,"Firm FE",,"50/80 market saturation"
"A5_market_saturation_lnpart5revenue","lnpart5revenue","post",0.03889205673723,0.0164892692849974,2.35862827303181,0.0208799444253069,8612,,"Firm FE",,"50/80 market saturation"
"A5_followup_lnpart5revenue","lnpart5revenue","type",0.0991533281777426,0.0352416907459896,2.81352358751477,0.00621614979181275,5439,,,,"follow-up with baseline outcome"
"A5_followup_lnpart5revenue","lnpart5revenue","treatratio_comp",-0.088369302663925,0.0414777756445805,-2.13052173822323,0.0363211993022053,5439,,,,"follow-up with baseline outcome"
"A5_bins_lnpart5revenue","lnpart5revenue","interpost",0.0993840247241015,0.0315606983936172,3.1489805290304,0.00233212993151105,8612,,"Firm FE",,"competitor-treatment bins"
"A5_bins_lnpart5revenue","lnpart5revenue","interpost_bin2",-0.0267098894753807,0.057950364093459,-0.460909778449442,0.646162550901501,8612,,"Firm FE",,"competitor-treatment bins"
"A5_bins_lnpart5revenue","lnpart5revenue","interpost_bin3",-0.061619193296964,0.0367060249520343,-1.6787215008295,0.0972604476633982,8612,,"Firm FE",,"competitor-treatment bins"
