"study_id","estimand_id","target","k","removal_fraction","direction","position","observation_id","model_row_position"
"01_RSPitHUMM","table1_capital_mobile_disburse","treatment3",10,0.00378931413414172,"Increase",1786,2009,1786
"01_RSPitHUMM","table1_capital_mobile_disburse","treatment3",10,0.00378931413414172,"Increase",1217,1373,1217
"01_RSPitHUMM","table1_capital_mobile_disburse","treatment3",10,0.00378931413414172,"Increase",1144,1285,1144
"01_RSPitHUMM","table1_capital_mobile_disburse","treatment3",10,0.00378931413414172,"Increase",2235,2517,2235
"01_RSPitHUMM","table1_capital_mobile_disburse","treatment3",10,0.00378931413414172,"Increase",2338,2631,2338
"01_RSPitHUMM","table1_capital_mobile_disburse","treatment3",10,0.00378931413414172,"Increase",2326,2617,2326
"01_RSPitHUMM","table1_capital_mobile_disburse","treatment3",11,0.00416824554755589,"Increase",84,95,84
"01_RSPitHUMM","table1_capital_mobile_disburse","treatment3",11,0.00416824554755589,"Increase",1945,2193,1945
"01_RSPitHUMM","table1_capital_mobile_disburse","treatment3",11,0.00416824554755589,"Increase",1012,1130,1012
"01_RSPitHUMM","table1_capital_mobile_disburse","treatment3",11,0.00416824554755589,"Increase",1847,2079,1847
"01_RSPitHUMM","table1_capital_mobile_disburse","treatment3",11,0.00416824554755589,"Increase",1786,2009,1786
"01_RSPitHUMM","table1_capital_mobile_disburse","treatment3",11,0.00416824554755589,"Increase",1217,1373,1217
"01_RSPitHUMM","table1_capital_mobile_disburse","treatment3",11,0.00416824554755589,"Increase",1144,1285,1144
"01_RSPitHUMM","table1_capital_mobile_disburse","treatment3",11,0.00416824554755589,"Increase",2235,2517,2235
"01_RSPitHUMM","table1_capital_mobile_disburse","treatment3",11,0.00416824554755589,"Increase",2338,2631,2338
"01_RSPitHUMM","table1_capital_mobile_disburse","treatment3",11,0.00416824554755589,"Increase",2326,2617,2326
"01_RSPitHUMM","table1_capital_mobile_disburse","treatment3",11,0.00416824554755589,"Increase",459,504,459
"01_RSPitHUMM","table1_capital_mobile_disburse","treatment3",12,0.00454717696097006,"Increase",84,95,84
"01_RSPitHUMM","table1_capital_mobile_disburse","treatment3",12,0.00454717696097006,"Increase",1945,2193,1945
"01_RSPitHUMM","table1_capital_mobile_disburse","treatment3",12,0.00454717696097006,"Increase",1012,1130,1012
"01_RSPitHUMM","table1_capital_mobile_disburse","treatment3",12,0.00454717696097006,"Increase",1847,2079,1847
"01_RSPitHUMM","table1_capital_mobile_disburse","treatment3",12,0.00454717696097006,"Increase",1786,2009,1786
"01_RSPitHUMM","table1_capital_mobile_disburse","treatment3",12,0.00454717696097006,"Increase",1217,1373,1217
"01_RSPitHUMM","table1_capital_mobile_disburse","treatment3",12,0.00454717696097006,"Increase",1144,1285,1144
"01_RSPitHUMM","table1_capital_mobile_disburse","treatment3",12,0.00454717696097006,"Increase",2235,2517,2235
"01_RSPitHUMM","table1_capital_mobile_disburse","treatment3",12,0.00454717696097006,"Increase",2338,2631,2338
"01_RSPitHUMM","table1_capital_mobile_disburse","treatment3",12,0.00454717696097006,"Increase",2326,2617,2326
"01_RSPitHUMM","table1_capital_mobile_disburse","treatment3",12,0.00454717696097006,"Increase",459,504,459
"01_RSPitHUMM","table1_capital_mobile_disburse","treatment3",12,0.00454717696097006,"Increase",1763,1982,1763
"01_RSPitHUMM","table1_capital_mobile_disburse","treatment3",13,0.00492610837438424,"Increase",84,95,84
"01_RSPitHUMM","table1_capital_mobile_disburse","treatment3",13,0.00492610837438424,"Increase",1945,2193,1945
"01_RSPitHUMM","table1_capital_mobile_disburse","treatment3",13,0.00492610837438424,"Increase",1012,1130,1012
"01_RSPitHUMM","table1_capital_mobile_disburse","treatment3",13,0.00492610837438424,"Increase",1847,2079,1847
"01_RSPitHUMM","table1_capital_mobile_disburse","treatment3",13,0.00492610837438424,"Increase",1786,2009,1786
"01_RSPitHUMM","table1_capital_mobile_disburse","treatment3",13,0.00492610837438424,"Increase",1217,1373,1217
"01_RSPitHUMM","table1_capital_mobile_disburse","treatment3",13,0.00492610837438424,"Increase",1144,1285,1144
"01_RSPitHUMM","table1_capital_mobile_disburse","treatment3",13,0.00492610837438424,"Increase",2235,2517,2235
"01_RSPitHUMM","table1_capital_mobile_disburse","treatment3",13,0.00492610837438424,"Increase",2338,2631,2338
"01_RSPitHUMM","table1_capital_mobile_disburse","treatment3",13,0.00492610837438424,"Increase",2326,2617,2326
"01_RSPitHUMM","table1_capital_mobile_disburse","treatment3",13,0.00492610837438424,"Increase",459,504,459
